Fibre  Run    Val_a Err_a Val_b  Err_b Chi_sq NDF
-------------------------------------------------
FT001A 110264 -56.086 0.005 25.527 0.156 13341 467
FT002A 110266 -56.179 0.004 23.824 0.135 17807 577
FT003A 110268 -56.175 0.004 24.484 0.134 22222 654
FT004A 110269 -58.194 0.004 51.295 0.123 22042 689
FT005A 110282 -57.528 0.004 53.734 0.128 25266 671
FT006A 110289 -56.654 0.004 36.572 0.138 28920 683
FT007A 110293 -56.193 0.004 25.848 0.115 26278 766
FT009A 110303 -56.808 0.004 28.110 0.133 15483 521
FT010A 110309 -56.357 0.004 23.236 0.126 20272 663
FT011A 110314 -56.284 0.005 14.670 0.141 9689 626
FT012A 110321 -56.591 0.005 21.504 0.140 12153 542
FT013A 110329 -56.235 0.005 24.220 0.149 12417 502
FT014A 110337 -56.743 0.005 42.108 0.155 6739 467
FT015A 110342 -57.195 0.005 53.712 0.153 8420 480
FT016A 110347 -56.051 0.005 22.063 0.145 11358 525
FT017A 110350 -56.585 0.005 33.944 0.140 12842 501
FT018A 110357 -55.911 0.005 22.664 0.135 14000 569
FT019A 110363 -56.812 0.004 15.358 0.134 12295 665
FT020A 110367 -55.334 0.005 25.522 0.158 11929 554
FT021A 110372 -55.791 0.009 27.097 0.290 2498 375
FT022A 110376 -56.345 0.005 23.862 0.160 6985 435
FT023A 110385 -56.370 0.005 21.653 0.135 13902 647
FT024A 110392 -56.575 0.004 45.376 0.114 20721 734
FT025A 110398 -57.113 0.003 49.430 0.120 34827 755
FT028A 110413 -57.140 0.004 51.424 0.128 20338 654
FT027A 110407 -56.135 0.005 23.595 0.151 9509 529
FT067A 110744 -51.416 0.004 14.620 0.128 7387 598
FT029A 110415 -56.563 0.004 24.761 0.128 18744 749
FT030A 110426 -56.203 0.004 19.707 0.129 15570 743
FT031A 110430 -56.197 0.004 20.593 0.121 15670 703
FT032A 110434 -56.779 0.004 48.989 0.131 14423 721
FT033A 110440 -55.567 0.004 27.242 0.119 35753 742
FT034A 110964 -55.258 0.004 22.128 0.136 11516 736
FT035A 110972 -56.419 0.004 54.354 0.118 30921 737
FT036A 110468 -55.899 0.004 30.568 0.140 14383 684
FT037A 110477 -56.026 0.004 64.657 0.129 20515 742
FT038A 110481 -55.647 0.004 23.365 0.131 13599 710
FT039A 110487 -51.306 0.005 49.890 0.142 20202 630
FT040A 110496 -57.071 0.004 60.854 0.133 22204 656
FT041A 110501 -53.559 0.004 26.108 0.137 15560 680
FT042A 110507 -56.258 0.005 49.328 0.173 34341 670
FT043A 110510 -53.671 0.005 49.883 0.166 15374 661
FT044A 110516 -51.709 0.004 30.557 0.134 19875 704
FT045A 110520 -52.535 0.004 34.371 0.132 12322 685
FT046A 110997 -51.749 0.004 33.486 0.153 32920 595
FT101A 111022 -56.587 0.003 29.982 0.109 19528 668
FT048A 110587 -52.126 0.004 31.975 0.136 16996 674
FT049A 111033 -56.050 0.004 61.268 0.118 19159 748
FT050A 110608 -52.456 0.004 40.174 0.127 33656 554
FT051A 110614 -52.565 0.004 55.061 0.138 28381 597
FT052A 110619 -51.301 0.004 24.025 0.136 21871 608
FT053A 110625 -56.412 0.004 42.322 0.137 11995 600
FT054A 110637 -56.682 0.005 59.896 0.148 11871 605
FT055A 110645 -52.577 0.004 60.705 0.124 15136 664
FT056A 110650 -56.963 0.005 55.030 0.148 35153 534
FT057A 110660 -53.935 0.004 52.569 0.148 7783 457
FT058A 110666 -55.747 0.005 26.222 0.140 13603 567
FT059A 110671 -53.487 0.005 14.139 0.136 15626 652
FT060A 111036 -55.913 0.004 24.538 0.129 20423 657
FT061A 111042 -52.785 0.005 60.731 0.161 20857 542
FT062A 110700 -52.377 0.004 21.530 0.118 24056 745
FT063A 111044 -52.546 0.004 28.594 0.135 26131 783
FT064A 110725 -53.162 0.004 48.013 0.118 51908 838
FT065A 110731 -52.916 0.004 46.033 0.117 66050 775
FT066A 110736 -53.483 0.004 25.995 0.126 63280 700
FT094A 110751 -52.330 0.004 43.734 0.139 47243 719
FT068A 110757 -52.401 0.004 59.289 0.123 31690 749
FT069A 110762 -54.091 0.004 43.564 0.118 61401 830
FT070A 110768 -53.081 0.005 15.714 0.154 19967 722
FT071A 110773 -53.646 0.004 53.894 0.118 31337 734
FT072A 110777 -53.200 0.004 57.986 0.129 15625 718
FT073A 110781 -55.091 0.004 39.477 0.103 63330 770
FT074A 110785 -53.958 0.004 46.129 0.148 17937 674
FT075A 110793 -56.081 0.004 50.129 0.130 13658 731
FT077A 110800 -52.489 0.004 42.083 0.123 20966 708
FT078A 111050 -52.812 0.004 41.147 0.115 10517 709
FT079A 110823 -53.427 0.004 24.025 0.129 15267 696
FT080A 110833 -55.934 0.004 33.514 0.130 15353 710
FT081A 110841 -57.124 0.004 55.700 0.133 19946 681
FT082A 110847 -56.394 0.004 46.225 0.118 14440 692
FT083A 110854 -55.229 0.005 19.238 0.127 11742 691
