Fibre  Run    Val_a Err_a Val_b  Err_b Chi_sq NDF
-------------------------------------------------
FT001A 201388 231.447 0.004 22.884 0.118 42408 839
FT002A 201390 231.239 0.003 21.802 0.104 48676 946
FT003A 201392 231.133 0.003 24.719 0.106 75986 1004
FT004A 201394 229.055 0.003 53.579 0.107 87108 985
FT005A 201396 229.825 0.003 54.655 0.109 100718 995
FT006A 201398 230.735 0.003 37.452 0.110 129002 1000
FT007A 201401 231.139 0.003 26.464 0.093 98409 1176
FT008A 201403 230.093 0.003 59.781 0.102 75461 996
FT009A 201405 230.634 0.003 28.201 0.102 56532 992
FT010A 201407 230.947 0.003 23.972 0.103 74013 1056
FT011A 201409 231.146 0.003 14.696 0.100 62220 1090
FT012A 201411 230.651 0.003 24.551 0.100 72001 1037
FT013A 201413 231.169 0.003 23.486 0.099 53591 1015
FT014A 201415 230.605 0.003 41.623 0.103 68515 988
FT015A 201417 230.294 0.003 52.989 0.102 60865 976
FT016A 201419 231.337 0.003 23.488 0.098 75476 1025
FT017A 201421 230.828 0.003 32.532 0.096 64113 1037
FT018A 201423 231.592 0.003 25.558 0.097 79320 1036
FT019A 201425 230.771 0.003 15.253 0.098 47112 1096
FT020A 201427 231.978 0.003 29.800 0.104 72420 1072
FT021A 201432 231.588 0.005 31.713 0.185 25240 803
FT022A 201434 231.025 0.003 25.746 0.103 76830 1000
FT023A 201436 231.196 0.003 23.538 0.102 51594 1101
FT024A 201438 230.796 0.003 48.622 0.096 51005 1079
FT025A 201440 230.397 0.003 52.261 0.103 73447 1013
FT028A 201442 230.272 0.003 55.547 0.105 60071 1040
FT027A 201444 231.311 0.003 22.174 0.111 51176 989
FT067A 201446 235.956 0.003 15.173 0.107 38320 1009
FT029A 201448 230.909 0.003 26.992 0.100 65532 1081
FT030A 201450 231.160 0.003 20.754 0.106 60368 1043
FT031A 201452 231.161 0.003 21.769 0.110 64036 1030
FT032A 201454 230.595 0.003 50.794 0.108 88168 984
FT033A 201456 231.916 0.003 26.127 0.100 133364 1044
FT034A 201611 232.172 0.004 21.967 0.116 58001 1039
FT035A 201462 230.944 0.003 56.876 0.106 91248 1051
FT036A 201464 231.420 0.003 30.474 0.112 64667 1045
FT037A 201466 231.281 0.003 64.483 0.103 93009 1016
FT038A 201468 231.832 0.004 21.270 0.114 66283 990
FT039A 201470 235.977 0.004 51.631 0.115 65529 931
FT040A 201473 230.331 0.003 61.701 0.107 93494 995
FT041A 201475 233.799 0.004 24.565 0.119 74054 937
FT042A 201477 231.043 0.004 49.551 0.128 109879 975
FT043A 201479 233.627 0.004 50.819 0.137 83851 963
FT044A 201481 235.727 0.003 27.721 0.105 74311 1077
FT045A 201483 234.801 0.003 31.285 0.101 49319 1091
FT046A 201602 235.942 0.004 30.947 0.130 82280 956
FT101A 201613 230.866 0.003 30.042 0.088 73240 1015
FT048A 201493 235.199 0.003 30.159 0.110 73774 1011
FT049A 201606 231.251 0.002 60.715 0.077 95257 1124
FT050A 201504 234.771 0.003 44.886 0.099 65100 960
FT051A 201506 234.739 0.003 55.657 0.098 81093 1032
FT052A 201508 236.023 0.003 24.857 0.107 72047 1040
FT053A 201510 231.014 0.003 42.180 0.103 61829 1058
FT054A 201512 230.757 0.003 58.268 0.110 64647 992
FT055A 201514 234.892 0.003 59.378 0.099 83106 1044
FT056A 201516 230.420 0.003 55.541 0.108 54088 941
FT057A 201518 233.328 0.003 52.331 0.108 51754 892
FT058A 201520 231.519 0.004 26.533 0.110 58350 999
FT059A 201522 233.902 0.004 14.008 0.109 37526 1008
FT060A 201524 231.396 0.003 23.695 0.103 55163 1053
FT061A 201526 234.598 0.002 63.109 0.077 105246 1096
FT062A 201528 234.943 0.003 21.665 0.099 101591 1065
FT063A 201530 234.617 0.003 29.470 0.110 87774 1057
FT064A 201532 234.163 0.003 48.407 0.098 87458 1127
FT065A 201534 234.711 0.003 39.153 0.100 56192 992
FT066A 201538 234.096 0.003 19.791 0.100 47414 1033
FT094A 201540 235.054 0.003 41.408 0.107 72003 1014
FT068A 201542 235.136 0.003 58.256 0.107 58351 974
FT069A 201544 233.421 0.003 40.750 0.106 61770 1049
FT070A 201546 234.392 0.005 15.184 0.145 17615 940
FT071A 201548 233.761 0.003 49.809 0.104 78145 968
FT072A 201550 233.990 0.004 59.412 0.117 60306 922
FT073A 201552 232.329 0.003 42.795 0.097 124573 998
FT074A 201554 233.469 0.004 45.153 0.124 46292 927
FT075A 201557 231.623 0.003 46.126 0.115 54876 950
FT076A 201559 235.497 0.006 6.758 0.174 11019 751
FT077A 201561 234.758 0.003 44.403 0.109 77632 971
FT078A 201617 234.316 0.003 41.414 0.091 70968 1036
FT079A 201565 233.869 0.003 21.323 0.099 78269 1068
FT080A 201567 231.398 0.003 34.089 0.099 64036 1121
FT081A 201569 230.186 0.003 56.515 0.101 85205 1019
FT082A 201571 230.874 0.003 48.344 0.102 66026 978
FT083A 201573 307.234 0.003 19.339 0.105 50568 1087
FT084A 201575 230.553 0.003 50.835 0.105 51059 984
FT085A 201577 231.893 0.003 27.125 0.106 59005 1036
FT086A 201579 232.978 0.003 49.120 0.097 109242 1079
FT087A 201581 234.828 0.003 47.965 0.105 92227 1004
FT088A 201583 235.635 0.003 17.297 0.107 58852 1059
FT089A 201585 232.854 0.003 52.145 0.110 105313 1026
FT090A 201587 230.343 0.003 61.706 0.109 94688 1005
FT091A 201589 234.137 0.003 70.069 0.105 143474 995
FT092A 201591 235.360 0.003 24.207 0.107 79633 977
FT047B 201620 236.112 0.003 27.672 0.103 72756 1055
FT026A 201595 231.534 0.003 25.028 0.103 60622 1056
FT093A 201597 232.585 0.003 35.886 0.108 102907 1070
