Fibre  Run    Val_a Err_a Val_b  Err_b Chi_sq NDF
-------------------------------------------------
FT001A 204401 238.647 0.003 25.401 0.122 55791 768
FT002A 204403 233.304 0.003 21.587 0.101 76420 873
FT003A 204409 233.078 0.003 25.414 0.113 105894 884
FT004A 204411 230.943 0.003 54.596 0.098 135347 956
FT005A 204413 232.084 0.003 54.235 0.099 158327 957
FT006A 204415 233.141 0.003 37.638 0.099 177590 987
FT007A 204418 233.069 0.003 26.219 0.083 140782 1162
FT008A 204420 231.894 0.003 60.714 0.099 104697 924
FT009A 204423 232.604 0.003 30.155 0.097 88614 971
FT010A 204425 232.655 0.003 22.498 0.108 109617 944
FT011A 204429 233.442 0.004 13.972 0.132 56773 874
FT012A 204431 236.055 0.003 27.140 0.100 90604 1002
FT013A 204437 233.138 0.003 23.739 0.089 91299 1088
FT014A 204439 232.174 0.003 42.034 0.103 64482 964
FT015A 204441 231.992 0.003 56.157 0.096 69087 954
FT016A 204442 233.165 0.003 26.484 0.111 79817 925
FT017A 204444 232.513 0.003 34.968 0.088 73416 1075
FT018A 204446 233.127 0.003 27.391 0.102 77863 998
FT019A 204448 232.510 0.003 15.801 0.086 85460 1131
FT020A 204450 234.150 0.003 30.021 0.105 94594 1041
FT021A 204452 233.509 0.005 35.846 0.184 30764 751
FT022A 204454 232.918 0.003 27.115 0.101 86603 995
FT023A 204456 232.200 0.003 24.171 0.091 77796 1098
FT024A 204460 232.958 0.003 48.445 0.086 85509 1069
FT025A 204462 232.123 0.003 51.589 0.091 110250 1004
FT028A 204464 232.360 0.003 56.530 0.088 101693 1051
FT027A 204467 232.777 0.003 22.180 0.089 92547 1038
FT067A 204469 237.945 0.003 15.260 0.085 78310 1060
FT029A 204471 233.042 0.003 25.049 0.083 110552 1119
FT030A 204473 232.370 0.003 21.677 0.105 86358 971
FT031A 204475 233.143 0.003 22.866 0.109 104037 963
FT032A 204477 232.456 0.003 49.663 0.099 103139 971
FT033A 204479 233.945 0.003 27.650 0.095 159630 986
FT034A 204481 233.776 0.003 22.383 0.105 128038 1056
FT035A 204483 240.514 0.003 55.618 0.094 139545 1040
FT036A 204485 233.657 0.003 29.771 0.110 78566 982
FT037A 204487 233.409 0.003 63.007 0.093 116487 986
FT038A 204489 233.896 0.003 22.757 0.101 83620 976
FT039A 204491 237.831 0.003 54.193 0.117 70144 844
FT040A 204493 232.112 0.003 59.442 0.100 100458 953
FT041A 204495 235.739 0.003 22.844 0.110 105811 923
FT042A 204497 232.945 0.003 49.298 0.118 151201 963
FT043A 204499 235.271 0.004 56.113 0.138 81915 886
FT044A 204501 237.398 0.003 33.663 0.100 206365 1066
FT045A 204503 236.899 0.003 38.567 0.104 155471 1039
FT046A 204505 237.005 0.003 30.188 0.100 152062 1045
FT101A 204507 233.451 0.002 29.747 0.079 190920 1027
FT048A 204509 237.234 0.003 27.266 0.100 114185 1011
FT049A 204511 231.858 0.003 63.636 0.094 191898 1001
FT050A 204513 236.494 0.003 43.197 0.089 100844 977
FT051A 204515 236.472 0.003 57.828 0.100 108747 979
FT052A 204517 237.966 0.003 26.193 0.104 101055 1027
FT053A 204519 232.755 0.003 45.082 0.106 67750 1013
FT054A 204521 232.661 0.003 62.408 0.105 75333 979
FT055A 204523 236.273 0.003 64.997 0.098 82057 1022
FT056A 204525 232.056 0.003 56.879 0.105 84881 947
FT057A 204527 235.660 0.003 50.121 0.097 105541 936
FT058A 204529 233.680 0.003 21.309 0.101 96875 1023
FT059A 204531 235.675 0.003 13.326 0.109 50872 954
FT060A 204533 233.463 0.003 26.467 0.099 71234 1011
FT061A 204535 240.018 0.003 62.135 0.104 74778 984
FT062A 204537 236.903 0.003 25.574 0.093 112136 1047
FT063A 204541 236.494 0.004 32.577 0.143 75838 856
FT064A 204543 236.064 0.003 50.565 0.095 93117 1082
FT066A 204545 236.420 0.003 20.618 0.098 65448 960
FT094A 204547 237.225 0.003 42.626 0.095 83133 1005
FT068A 204549 236.967 0.003 61.431 0.100 55536 932
FT069A 204551 235.182 0.003 42.013 0.099 73260 1007
FT070A 204553 238.157 0.005 17.044 0.155 19709 788
FT071A 204555 235.818 0.003 50.131 0.095 76988 937
FT072A 204557 236.132 0.003 56.546 0.104 83879 918
FT073A 204559 233.880 0.003 47.761 0.091 128036 971
FT074A 204561 235.335 0.003 47.670 0.110 57541 920
FT075A 204563 233.398 0.003 50.083 0.100 60092 948
FT076A 204565 237.298 0.005 12.135 0.176 15407 688
FT077A 204567 236.978 0.003 44.109 0.098 121095 955
FT078A 204569 235.860 0.003 42.568 0.094 98927 966
FT079A 204571 235.889 0.003 22.167 0.099 102181 1000
FT080A 204573 233.207 0.003 35.418 0.096 96142 1060
FT081A 204575 231.972 0.003 55.011 0.090 215322 1023
FT082A 204577 233.129 0.003 47.925 0.091 122514 966
FT083A 204579 234.134 0.003 17.863 0.102 98347 1059
FT084A 204581 232.534 0.003 51.623 0.096 68068 954
FT085A 204583 233.346 0.003 32.461 0.096 223591 1048
FT087A 204585 237.087 0.003 49.776 0.090 108496 1006
FT088A 204601 237.848 0.003 22.705 0.109 51243 990
FT090A 204589 232.260 0.003 59.871 0.104 97169 968
FT091A 204605 236.719 0.003 65.287 0.092 177667 973
FT092A 204593 237.024 0.003 26.667 0.107 93335 928
FT047B 204595 230.110 0.003 30.499 0.104 78019 1032
FT026A 204597 227.706 0.003 27.636 0.115 70958 947
FT093A 204599 231.031 0.003 33.157 0.107 106278 1002
