Fibre  Run    Val_a Err_a Val_b  Err_b Chi_sq NDF
-------------------------------------------------
FT001A 117790 232.008 0.003 24.951 0.114 19322 909
FT002A 117578 232.045 0.003 23.119 0.102 20593 987
FT003A 117580 231.918 0.004 24.776 0.111 22017 995
FT004A 117582 229.971 0.003 51.910 0.109 19331 991
FT005A 117584 230.683 0.004 54.620 0.110 27517 1005
FT006A 117586 231.576 0.003 38.359 0.113 36684 1007
FT007A 117588 231.937 0.003 27.359 0.104 28483 1118
FT008A 117590 230.811 0.003 61.002 0.110 20036 977
FT009A 117592 231.336 0.003 29.821 0.106 26364 1026
FT010A 117594 231.698 0.003 24.788 0.114 21265 1019
FT011A 117598 231.860 0.003 15.937 0.108 40342 1056
FT012A 117792 231.377 0.004 22.918 0.111 34575 1028
FT013A 117602 231.869 0.003 25.074 0.108 26341 1083
FT014A 117604 231.418 0.003 40.955 0.108 22448 1013
FT015A 117606 230.950 0.003 54.375 0.107 21814 1009
FT016A 117608 232.062 0.003 23.513 0.106 36065 1049
FT017A 117610 231.173 0.003 32.315 0.104 29645 1092
FT018A 117612 232.216 0.003 25.604 0.101 29838 1106
FT019A 117614 231.317 0.003 17.375 0.106 15791 1107
FT020A 117616 232.713 0.004 28.595 0.115 26371 1071
FT021A 117618 232.129 0.006 32.870 0.210 5233 774
FT022A 117620 231.756 0.003 24.734 0.112 25294 1032
FT023A 117622 231.662 0.004 25.023 0.124 18153 1024
FT024A 117624 231.178 0.003 47.746 0.101 25066 1086
FT025A 117626 230.975 0.003 52.120 0.107 37822 1022
FT028A 117628 230.944 0.003 55.406 0.103 21638 1064
FT027A 117630 231.885 0.003 23.503 0.112 19651 1029
FT067A 117632 236.759 0.003 15.135 0.110 11200 1030
FT029A 117634 231.594 0.003 24.976 0.104 28910 1074
FT030A 117636 231.875 0.004 20.681 0.115 17988 1015
FT031A 117638 231.781 0.003 21.282 0.105 17787 1074
FT032A 117640 231.399 0.003 47.445 0.109 18715 990
FT033A 117642 232.645 0.003 24.778 0.102 56563 1038
FT034A 117644 232.501 0.003 23.028 0.111 39832 1094
FT035A 117646 231.644 0.003 56.957 0.106 39523 1069
FT036A 117654 232.221 0.003 30.169 0.112 20674 1068
FT037A 117656 231.782 0.003 63.273 0.101 32735 1066
FT038A 117658 232.489 0.004 23.025 0.109 19914 1031
FT039A 117660 236.803 0.004 53.478 0.122 18288 912
FT040A 117662 231.039 0.003 61.536 0.107 31335 1004
FT041A 117664 234.654 0.003 25.497 0.114 31399 982
FT042A 117666 231.445 0.004 52.053 0.125 70283 1009
FT043A 117668 234.486 0.004 48.714 0.136 21518 972
FT044A 117670 236.631 0.003 26.388 0.111 45471 1074
FT045A 117672 235.914 0.003 28.477 0.077 60172 1290
FT046A 117779 236.469 0.004 27.066 0.126 89110 977
FT101A 117782 231.363 0.003 26.984 0.102 162815 999
FT048A 117680 236.033 0.004 29.095 0.111 31614 1028
FT049A 117784 231.260 0.004 68.317 0.143 151978 896
FT050A 117684 235.473 0.003 47.448 0.105 41390 953
FT051A 117686 235.432 0.003 57.124 0.104 43362 1015
FT052A 117688 236.770 0.003 24.914 0.117 63990 1033
FT053A 117690 231.597 0.003 42.561 0.108 19912 1033
FT054A 117692 231.465 0.003 59.086 0.110 22597 1022
FT055A 117694 235.578 0.003 60.793 0.108 26695 1048
FT056A 117696 231.069 0.003 54.837 0.116 43251 956
FT057A 117698 234.133 0.003 53.365 0.104 63669 962
FT058A 117700 231.893 0.003 27.469 0.099 39273 1112
FT059A 117702 234.630 0.004 15.760 0.109 11602 1061
FT060A 117704 231.810 0.003 24.245 0.102 29767 1099
FT061A 117786 235.319 0.004 62.300 0.124 26217 992
FT062A 117708 235.760 0.003 22.752 0.101 39612 1106
FT063A 117788 235.575 0.004 28.800 0.112 28157 1068
FT064A 117712 235.053 0.003 48.233 0.095 22481 1164
FT065A 117714 235.508 0.003 39.271 0.096 27519 1042
FT066A 117716 234.855 0.003 21.432 0.093 22315 1091
FT094A 117718 235.760 0.003 44.437 0.107 21992 1043
FT068A 117720 235.755 0.003 61.638 0.101 24750 1030
FT069A 117722 234.106 0.003 42.596 0.101 29660 1099
FT070A 117724 235.085 0.006 16.948 0.176 5042 812
FT071A 117776 234.560 0.003 52.438 0.100 23453 1017
FT072A 117728 234.959 0.003 58.209 0.107 17915 997
FT073A 117730 232.735 0.003 47.030 0.098 37217 1049
FT074A 117732 234.120 0.004 46.910 0.121 15470 980
FT075A 117734 232.095 0.003 49.476 0.104 17170 1024
FT076A 117736 236.407 0.006 6.481 0.151 3508 871
FT077A 117738 235.620 0.003 44.269 0.110 20659 1005
FT078A 117740 235.186 0.003 40.872 0.096 15554 1044
FT079A 117742 234.673 0.004 22.916 0.112 21275 1032
FT080A 117744 232.029 0.003 33.734 0.104 23516 1105
FT081A 117746 230.812 0.003 53.981 0.115 66848 999
FT082A 117748 231.625 0.003 46.286 0.098 19900 1018
FT083A 117750 232.848 0.003 16.223 0.096 70643 1139
FT084A 117752 231.144 0.003 52.092 0.113 14149 959
FT085A 117754 232.238 0.003 30.611 0.110 105025 1038
FT086A 117756 233.869 0.003 49.971 0.097 34919 1085
FT087A 117758 235.465 0.003 51.952 0.100 17968 1034
FT088A 117760 236.221 0.003 21.928 0.111 19105 1038
FT089A 117762 233.687 0.003 51.269 0.112 24606 1044
FT090A 117764 231.046 0.003 61.907 0.101 19245 1055
FT091A 117766 235.198 0.003 60.181 0.110 53914 998
FT092A 117768 235.996 0.003 27.250 0.107 28205 1038
FT047B 117770 236.845 0.003 27.358 0.102 37585 1116
FT026A 117772 232.110 0.003 23.933 0.099 29787 1120
FT093A 117774 233.696 0.003 28.984 0.108 20563 1091
