#Run Fibre_delay Trig_delay PCA_offset
#-------------------------------------
102260 17.8 650  191.121
102264 17.5 650  190.891
102268 16.5 650  190.322
102161 15.0 650  189.228
102274 17.8 650  189.744
102278 16.5 650  190.718
102281 20.8 650  190.847
102286 17.2 650  190.160
102290 21.5 650  190.100
102165 14.8 650  191.233
102293 19.0 650  190.531
102296 17.8 650  189.623
102300 17.0 650  190.204
102304 10.8 650  190.763
102168 19.0 650  190.753
102306 17.5 650  190.787
102310 14.2 650  190.774
102313 14.5 650  190.625
102315 15.5 650  190.163
101374 20.5 700  134.415
101381 17.0 700  134.296
101386 14.8 700  133.305
101391  7.5 700  133.146
101404 15.0 700  133.443
101410 15.5 700  132.121
101500 17.2 700  132.449
101498  8.2 700  133.425
101414 13.8 700  133.918
101502 18.2 700  132.908
101505  5.8 650  183.006
101509 19.2 650  182.894
101512 13.0 650  182.842
101515 12.8 650  183.762
101530 18.0 650  184.047
101533 18.5 650  183.416
101528 19.0 650  183.138
101537 17.8 650  184.326
101543 17.5 650  183.306
101548 18.0 650  185.426
101553 14.0 650  182.564
101558 18.8 650  183.006
101560 15.2 650  183.968
101564 13.5 650  183.364
101567 18.5 650  185.214
101570 19.8 650  184.711
101579 21.2 650  184.609
102157 20.2 650  190.704
101705 20.5 650  188.829
101717 18.5 650  188.233
101721 19.2 650  188.670
101726 20.0 650  188.619
101730 22.5 650  189.455
101735 12.5 650  187.809
101740 15.5 650  187.368
101745 18.2 650  189.223
101749  9.5 650  186.726
101756 21.0 650  186.711
101759 17.0 650  187.939
101763 17.5 650  187.342
101771 18.5 650  188.131
101774 21.5 650  188.490
101780 18.5 650  189.219
101787 20.2 650  188.925
101793 17.8 650  188.609
101795 17.8 650  188.944
101799 22.5 650  187.267
101933  3.2 650  189.283
101806 18.2 650  189.196
101809 12.2 650  187.244
101811 16.8 650  187.750
101815 11.8 650  188.411
101819 17.0 650  189.195
101822 13.0 650  188.236
101824 11.5 650  187.280
101827 15.8 650  187.563
101831 18.5 650  189.850
101834 16.0 650  189.036
101839  8.5 650  189.080
101842 16.2 650  188.049
101845  9.8 650  187.276
101849 12.5 650  187.071
101852 17.0 650  187.458
102178 13.8 650  192.016
101889 17.0 650  187.352
101892  0.0 650  188.390
101895 12.2 650  187.881
101898 22.5 650  189.305
101903 20.5 650  188.964
101905 12.0 650  187.466
101910 14.0 650  187.739
101913 17.8 650  188.958
101915 24.2 650  189.204
101944 13.8 650  195.504
102183 19.0 650  195.799
101929 17.5 650  187.900
