#Run Fibre_delay Trig_delay PCA_offset
#-------------------------------------
253803 17.8 900  191.389
253805 17.5 900  191.292
253808 16.5 900  190.783
253811 15.0 900  190.057
253815 17.8 900  190.552
253821 16.5 900  191.146
253823 20.8 900  191.191
253825 17.2 900  190.903
253827 21.5 900  190.318
253829 14.8 900  191.651
253832 19.0 900  190.898
253835 17.8 900  190.004
253837 17.0 900  190.489
253842 10.8 900  191.402
253844 19.0 900  191.554
253847 17.5 900  191.186
253849 14.2 900  191.293
253855 15.5 900  190.507
253857 20.5 900  134.843
253861 17.0 900  134.515
253863 14.8 900  133.735
253865  7.5 900  133.480
253867 15.0 900  134.205
253869 15.5 900  132.816
253871 17.2 900  133.338
253875  8.2 900  133.696
253880 19.0 900  195.930
253882 18.2 900  133.331
253885  5.8 900  183.360
253887 19.2 900  183.252
253889 13.0 900  183.512
253893 12.8 900  184.017
253895 18.0 900  184.408
253897 18.5 900  184.311
253899 19.0 900  183.662
253901 17.8 900  185.203
253903 17.5 900  183.687
253905 18.0 900  186.373
253907 14.0 900  183.427
253909 18.8 900  183.390
253911 15.2 900  184.433
253913 13.5 900  183.884
253916 18.5 900  185.615
253920 19.8 900  185.174
253922 21.2 900  185.122
253925 20.2 900  191.161
253927 20.5 900  189.191
253929 18.5 900  189.109
253931 19.2 900  189.269
253934 20.0 900  189.458
253936 22.5 900  189.943
253938 12.5 900  188.397
253940 15.5 900  188.372
253942 18.2 900  189.995
253947  9.5 900  187.469
253949 21.0 900  187.437
253951 17.0 900  188.372
253955 17.5 900  187.575
253957 18.5 900  188.506
253959 21.5 900  189.303
253961 18.5 900  189.581
253964 20.2 900  189.398
253966 17.8 900  189.266
253968 17.8 900  189.446
253971 22.5 900  187.514
253973  3.2 900  189.929
253977 12.2 900  187.903
253979 16.8 900  188.081
253981 11.8 900  189.175
253983 17.0 900  189.952
253985 13.0 900  189.062
253987 11.5 900  187.880
253989 15.8 900  188.284
253996 18.5 900  190.066
253998 16.0 900  189.761
254001  8.5 900  189.635
254003 16.2 900  188.445
254005  9.8 900  187.795
254007 12.5 900  187.966
254009 17.0 900  188.119
254011 13.8 900  192.230
254013 17.0 900  188.029
254015  0.0 900  188.819
254017 12.2 900  188.600
254019 22.5 900  190.108
254023 20.5 900  189.417
254025 12.0 900  188.154
254027 14.0 900  188.559
254029 17.8 900  189.675
254031 24.2 900  189.653
254033 13.8 900  195.719
254035 13.8 900  134.269
254037 17.5 900  188.195
254046 14.5 900  191.030
254052 18.2 900  189.930
