#Run Fibre_delay Trig_delay PCA_offset
#-------------------------------------
114670 17.8 900  191.389
114673 17.5 900  191.292
114675 16.5 900  190.783
114677 15.0 900  190.057
114679 17.8 900  190.552
114681 16.5 900  191.146
114683 20.8 900  191.191
114685 17.2 900  190.903
114687 21.5 900  190.318
114689 14.8 900  191.651
114691 19.0 900  190.898
114693 17.8 900  190.004
114695 17.0 900  190.489
114697 10.8 900  191.402
114699 19.0 900  191.554
114701 17.5 900  191.186
114703 14.2 900  191.293
114705 14.5 900  191.030
114707 15.5 900  190.507
114709 20.5 900  134.843
114711 17.0 900  134.515
114713 14.8 900  133.735
114715  7.5 900  133.480
114717 15.0 900  134.205
114720 15.5 900  132.816
114722 17.2 900  133.338
114724  8.2 900  133.696
114726 19.0 900  195.930
114728 18.2 900  133.331
114730  5.8 900  183.360
114732 19.2 900  183.252
114734 13.0 900  183.512
114736 12.8 900  184.017
114738 18.0 900  184.408
114740 18.5 900  184.311
114742 19.0 900  183.662
114744 17.8 900  185.203
114746 17.5 900  183.687
114748 18.0 900  186.373
114750 14.0 900  183.427
114752 18.8 900  183.390
114754 15.2 900  184.433
114756 13.5 900  183.884
114787 18.5 900  185.615
114789 19.8 900  185.174
114794 21.2 900  185.122
114796 20.2 900  191.161
114798 20.5 900  189.191
114800 18.5 900  189.109
114802 19.2 900  189.269
114804 20.0 900  189.458
114806 22.5 900  189.943
114808 12.5 900  188.397
114810 15.5 900  188.372
114812 18.2 900  189.995
114817  9.5 900  187.469
114819 21.0 900  187.437
114821 17.0 900  188.372
114824 17.5 900  187.575
114826 18.5 900  188.506
114828 21.5 900  189.303
114830 18.5 900  189.581
114832 20.2 900  189.398
114834 17.8 900  189.266
114836 17.8 900  189.446
115672 22.5 900  187.514
115674  3.2 900  189.929
115676 18.2 900  189.930
115678 12.2 900  187.903
115682 16.8 900  188.081
115684 11.8 900  189.175
115686 17.0 900  189.952
115688 13.0 900  189.062
115690 11.5 900  187.880
115692 15.8 900  188.284
115694 18.5 900  190.066
115696 16.0 900  189.761
115707  8.5 900  189.635
115711 16.2 900  188.445
115713  9.8 900  187.795
115716 12.5 900  187.966
115718 17.0 900  188.119
115722 13.8 900  192.230
115725 17.0 900  188.029
115728  0.0 900  188.819
115730 12.2 900  188.600
115732 22.5 900  190.108
115738 20.5 900  189.417
115740 12.0 900  188.154
115742 14.0 900  188.559
115744 17.8 900  189.675
115746 24.2 900  189.653
115749 13.8 900  195.719
115751 13.8 900  134.269
115753 17.5 900  188.195
