#Run trigger_delay fibre_delay pca_offset
#----------------------------   
110264 1000 17.75 132.623
110266 1000 17.5 132.504
110268 1000 16.5 132.557
110269 1000 15 131.234
110282 1000 17.75 131.944
110289 1000 16.5 132.413
110293 1000 20.75 132.577
110932 1000 17.25 132.226
110303 1000 21.5 132.007
110309 1000 14.75 132.314
110314 1000 19 132.201
110321 1000 17.75 132.076
110329 1000 17 132.498
110337 1000 10.75 132.468
110342 1000 19 132.313
110347 1000 17.5 132.664
110350 1000 14.25 132.337
110357 1000 14.5 132.802
110363 1000 15.5 131.666
110367 1000 20.5 133.513
110372 1000 17 133.086
110376 1000 14.75 132.263
110385 1000 7.5 132.33
110392 1000 15 132.657
110398 1000 15.5 132.149
110413 1000 17.25 132.279
110407 1000 8.25 132.595
110744 1000 19 137.038
110415 1000 18.25 132.158
110426 1000 5.75 132.419
110430 1000 19.25 132.42
110434 1000 13 132.682
110440 1000 12.75 133.271
110964 1000 18 133.418
110972 1000 18.5 133.074
110468 1000 19 132.95
110477 1000 17.75 133.909
110481 1000 17.5 133.049
110487 1000 18 138.158
110496 1000 14 132.55
110501 1000 18.75 135.188
110507 1000 15.25 133.03
110510 1000 13.5 135.573
110516 1000 18.5 137.161
110520 1000 19.75 136.443
110997 1000 21.25 137.16
111022 1000 20.25 132.232
110587 1000 20.5 136.763
111033 1000 18.5 133.542
110608 1000 19.25 136.735
110614 1000 20 136.778
110619 1000 22.5 137.368
110625 1000 12.5 132.753
110637 1000 15.5 133.028
110645 1000 18.25 136.982
110650 1000 9.5 132.578
110660 1000 21 135.423
110666 1000 17 133.038
110671 1000 17.5 134.994
111036 1000 18.5 132.806
111042 1000 21.5 136.917
110700 1000 18.5 136.229
111044 1000 20.25 136.273
110725 1000 17.75 136.115
110731 1000 17.75 136.361
110736 1000 22.5 135.236
110751 1000 3.25 136.768
110757 1000 18.25 137.228
110762 1000 12.25 135.154
110768 1000 16.75 135.495
110773 1000 11.75 135.751
110777 1000 17 136.471
110781 1000 13 134.086
110785 1000 11.5 135.274
110793 1000 15.75 133.274
110796 1000 18.5 136.652
110800 1000 16 136.711
111050 1000 8.5 136.323
110823 1000 16.25 135.27
110833 1000 9.75 133.04
110841 1000 12.5 132.426
110847 1000 17 132.838
110854 1000 13.75 133.422
110858 1000 17 132.559
110865 1000 0 133.211
110872 1000 12.25 135.118
110878 1000 22.5 136.926
111058 1000 20.5 136.913
110891 1000 12 134.862
110896 1000 14 132.766
110902 1000 17.75 136.693
110910 1000 24.25 136.658
110578 1000 13.75 137.495
110403 1000 13.75 132.775
110905 1000 17.5 134.444

