#Z Element Q-value(keV) Abundance(%)
46 Ca 990 0.004
48 Ca 4272 0.187
70 Zn 1001 0.62
76 Ge 2039 7.61
80 Se 134 49.61
82 Se 2995 8.73
78 Kr 2867 0.35
86 Kr 1256 17.3
94 Zr 1144 17.38
96 Zr 3350 2.8
98 Mo 112 24.13
100 Mo 3034 9.63
96 Ru 674 5.54
104 Ru 1300 18.62
110 Pd 2000 11.72
106 Cd 726 1.25
114 Cd 537 28.73
116 Cd 2805 7.49
122 Sn 366 4.63
124 Sn 2287 5.79
128 Te 867 31.74
130 Te 2529 34.08
124 Xe 820 0.09
134 Xe 830 10.44
136 Xe 2468 8.87
130 Ba 576 0.106
136 Ce 374 0.185
142 Ce 1417 11.114
146 Nd 70 17.2
148 Nd 1928 5.7
150 Nd 3368 5.6
154 Sm 1251 22.75
148 Gd 1022 0
160 Gd 1730 21.86
154 Dy 1271 0
170 Er 654 14.93
176 Yb 1087 12.76
186 W 488 28.43
192 Os 414 40.78
198 Pt 1047 7.163
204 Hg 416 6.87
216 Po 1534 0
220 Rn 344 0
226 Ra 477 0
224 Th -875 0
232 Th 842 100
238 U 1145 99.2745
244 Pu 1352 0
248 Cm 153 0
254 Cf 436 0
256 Cf 1553 0
260 Fm 700 0
