#Node   Fibre   Channel Run IPW Photons NHit
#-------------------------------------------
1 FT001A 12 102260 8400 56223 34.67
2 FT002A 19 102264 7275 12202 35.66
3 FT003A 35 102268 7000 28148 39.79
4 FT004A 55 102161 7800 27926 40.18
5 FT005A 15 102274 7925 23287 38.55
6 FT006A 14 102278 7975 25726 31.99
7 FT007A 23 102281 7500 162443 34.18
8 FT008A 9 102286 7025 45898 32.19
9 FT009A 3 102290 8000 18342 39.22
10 FT010A 17 102165 6950 44849 39.02
11 FT011A 24 102293 6975 20446 31.26
12 FT012A 50 102296 8550 45918 25.83
13 FT013A 47 102300 7975 24504 38.77
14 FT014A 33 102304 4575 55251 32.99
15 FT015A 4 102168 6000 14312 27.57
16 FT016A 11 102306 5600 12444 30.56
17 FT017A 32 102310 10700 20033 36.14
18 FT018A 48 102313 6050 0 32.32
19 FT019A 6 102315 5850 64119 29.73
20 FT020A 20 101374 8650 7190 37.89
21 FT021A 2 101381 6275 4141 35.07
22 FT022A 34 101386 6000 28078 32.96
23 FT023A 16 101391 6400 18536 29.76
24 FT024A 31 101404 6075 19977 28.51
25 FT025A 56 101410 6850 15908 29.84
26 FT026A 10 101414 4475 41522 32.37
27 FT027A 18 101498 6950 28937 28.84
28 FT028A 36 101500 8600 9962 35.51
29 FT029A 7 101502 5850 4248 35.43
30 FT030A 49 101505 6500 31624 27.40
31 FT031A 1 101509 8150 9361 38.01
32 FT032A 53 101512 6325 43089 32.10
33 FT033A 43 101515 6000 41011 35.79
34 FT034A 29 101530 9350 13766 31.90
35 FT035A 5 101533 7125 18555 33.46
36 FT036A 54 101528 7925 11906 39.44
37 FT037A 30 101537 8175 37204 28.95
38 FT038A 41 101543 8925 15139 32.67
39 FT039A 85 101548 6800 4316 36.85
40 FT040A 51 101553 7000 25494 27.07
41 FT041A 93 101558 7950 12795 27.51
42 FT042A 28 101560 7500 48291 29.50
43 FT043A 92 101564 5725 14108 38.78
44 FT044A 70 101567 5675 19498 30.89
45 FT045A 62 101570 7950 18773 34.62
46 FT046A 80 101579 9900 4520 27.57
47 FT101A 8 102157 7600 10804 33.58
48 FT048A 69 101705 9000 6001 22.81
49 FT049A 25 101717 5650 73977 38.85
50 FT050A 77 101721 5525 35262 34.81
51 FT051A 74 101726 7275 35829 32.91
52 FT052A 81 101730 6750 7899 29.79
53 FT053A 13 101735 5675 18551 27.19
54 FT054A 38 101740 5675 67096 31.23
55 FT055A 72 101745 7335 34963 31.92
56 FT056A 52 101749 8925 10846 32.76
57 FT057A 95 101756 8825 4224 32.15
58 FT058A 27 101759 8425 21503 35.90
59 FT059A 88 101763 8675 10819 34.51
60 FT060A 26 101771 5950 0 43.40
61 FT061A 79 101774 6200 18531 40.94
62 FT062A 68 101780 6200 10722 41.45
63 FT063A 64 101787 5700 30799 24.33
64 FT064A 75 101793 7875 38090 32.44
65 FT065A 84 101795 6250 8304 26.04
66 FT066A 89 101799 9500 5015 39.40
67 FT094A 82 101933 8100 6978 33.70
68 FT068A 78 101806 6725 27876 39.84
69 FT069A 90 101809 8100 7975 36.23
70 FT070A 91 101811 6800 14015 27.49
71 FT071A 63 101815 6350 13649 41.19
72 FT072A 58 101819 7375 16426 40.20
73 FT073A 44 101822 7025 25633 38.28
74 FT074A 94 101824 6350 4648 27.67
75 FT075A 42 101827 6650 30178 32.46
76 FT076A 61 101831 6350 27709 33.76
77 FT077A 76 101834 6900 25504 30.98
78 FT078A 60 101839 6450 21784 33.23
79 FT079A 67 101842 6100 10137 31.75
80 FT080A 46 101845 6900 8777 33.62
81 FT081A 21 101849 6350 36977 38.94
82 FT082A 37 101852 8700 15470 42.30
83 FT083A 45 102178 6700 20296 38.66
84 FT084A 39 101889 7525 29321 29.16
85 FT085A 40 101892 8150 13653 35.43
86 FT086A 59 101895 5475 15848 42.48
87 FT087A 66 101898 8850 8795 42.66
88 FT088A 86 101903 9050 9995 26.51
89 FT089A 71 101905 6000 7755 33.06
90 FT090A 22 101910 6325 16428 31.46
91 FT091A 87 101913 7700 5095 34.72
92 FT092A 65 101915 5300 5606 27.86
47 FT047A 73 101944 4500 232172 34.92
67 FT067A 83 102183 5625 25219 40.4
91 FT093A 57 101929 5925 19215 38.25
