#Node Fibre Channel Run IPW Photons PIN RMS NHit
#-------------------------------------
1 FT001A 12 201388 8650 11383 482 175 44
2 FT002A 19 201390 7542 2274 1053 175 42
3 FT003A 35 201392 7317 2278 1084 175 41
4 FT004A 55 201394 8032 1502 977 175 42
5 FT005A 15 201396 8210 2019 976 175 40
6 FT006A 14 201398 8150 4282 698 175 42
7 FT007A 23 201401 7800 4749 1180 176 42
8 FT008A 9 201403 7317 4138 790 174 42
9 FT009A 3 201405 8263 2443 1131 175 40
10 FT010A 17 201407 7125 3663 777 175 43
11 FT011A 24 201409 7173 1217 943 174 42
12 FT012A 50 201411 8810 11094 1685 176 43
13 FT013A 47 201413 8200 5579 689 175 44
14 FT014A 33 201415 4908 6130 862 174 42
15 FT015A 4 201417 6200 3023 944 175 41
16 FT016A 11 201419 5870 2045 1058 175 42
17 FT017A 32 201421 10833 3050 881 174 39
18 FT018A 48 201423 6192 9763 1115 175 43
19 FT019A 6 201425 6076 3443 472 175 42
20 FT020A 20 201427 8788 2944 673 175 43
21 FT021A 2 201432 6350 5226 1064 175 43
22 FT022A 34 201434 6115 4253 965 175 42
23 FT023A 16 201436 6427 9570 943 175 40
24 FT024A 31 201438 6236 3993 1173 175 43
25 FT025A 56 201440 6950 2268 897 175 42
26 FT028A 36 201442 8730 1804 685 175 41
27 FT027A 18 201444 7092 5308 962 174 41
28 FT067A 83 201446 5820 13612 1062 2 40
29 FT029A 7 201448 5962 1870 741 175 43
30 FT030A 49 201450 6592 5081 2077 176 43
31 FT031A 1 201452 8225 3931 814 175 39
32 FT032A 53 201454 6407 2812 375 173 42
33 FT033A 43 201456 6045 7123 1216 176 44
34 FT034A 29 201611 9335 4236 463 175 40
35 FT035A 5 201462 7185 7777 677 175 38
36 FT036A 54 201464 8058 2033 795 174 42
37 FT037A 30 201466 8324 4469 632 175 44
38 FT038A 41 201468 8964 4543 833 174 43
39 FT039A 85 201470 6908 3125 356 2 44
40 FT040A 51 201473 7065 3497 1307 176 43
41 FT041A 93 201475 8100 6067 563 2 41
42 FT042A 28 201477 7618 8361 839 174 42
43 FT043A 92 201479 5844 7782 652 2 43
44 FT044A 70 201481 5793 4707 495 2 43
45 FT045A 62 201483 8113 6814 880 2 43
46 FT046A 80 201602 8970 62974 1108 2 40
47 FT101A 8 201613 7738 13059 917 174 48
48 FT048A 69 201493 9072 2499 674 2 41
49 FT049A 25 201606 5830 9401 1136 175 50
50 FT050A 77 201504 5649 5827 499 2 45
51 FT051A 74 201506 7398 6666 919 2 44
52 FT052A 81 201508 6877 3853 798 2 43
53 FT053A 13 201510 5765 3245 266 162 42
54 FT054A 38 201512 5834 15362 655 174 42
55 FT055A 72 201514 7478 5023 1038 2 43
56 FT056A 52 201516 8873 6254 753 174 40
57 FT057A 95 201518 8906 2549 1161 2 42
58 FT058A 27 201520 8578 3957 680 175 42
59 FT059A 88 201522 8803 4952 857 2 41
60 FT060A 26 201524 6188 5519 754 175 43
61 FT061A 79 201526 6248 6696 1223 2 60
62 FT062A 68 201528 6324 6602 517 2 42
63 FT063A 64 201530 5984 2259 1176 2 43
64 FT064A 75 201532 8049 5328 845 2 44
65 FT065A 84 201534 6367 4300 746 2 42
66 FT066A 89 201538 9633 2037 1011 2 42
67 FT094A 82 201540 8208 1903 918 2 43
68 FT068A 78 201542 6852 4316 786 2 43
69 FT069A 90 201544 8250 2881 1009 2 41
70 FT070A 91 201546 6830 9657 1147 2 39
71 FT071A 63 201548 6495 4448 1262 2 44
72 FT072A 58 201550 7582 3243 1253 2 41
73 FT073A 44 201552 7073 6532 546 175 44
74 FT074A 94 201554 6385 3655 825 2 43
75 FT075A 42 201557 6698 7050 985 174 40
76 FT076A 61 201559 6500 11923 594 2 43
77 FT077A 76 201561 6994 3632 648 2 42
78 FT078A 60 201617 6547 21707 770 2 46
79 FT079A 67 201565 6192 5558 987 2 42
80 FT080A 46 201567 6936 4350 540 176 43
81 FT081A 21 201569 6432 8557 321 170 44
82 FT082A 37 201571 8860 2416 0 0 41
83 FT083A 45 201573 6809 4494 711 175 42
84 FT084A 39 201575 7661 3808 1042 175 43
85 FT085A 40 201577 8257 1989 768 175 43
86 FT086A 59 201579 5584 6361 1257 2 43
87 FT087A 66 201581 9045 3994 946 2 41
88 FT088A 86 201583 9152 3412 880 2 41
89 FT089A 71 201585 6028 6067 689 2 40
90 FT090A 22 201587 6446 2586 795 174 41
91 FT091A 87 201589 7812 3116 1367 2 42
92 FT092A 65 201591 5395 5135 1965 2 42
22 FT047B 73 201620 6167 1691 761 2 43
28 FT026A 10 201595 4643 4570 1089 175 42
91 FT093A 57 201597 6115 4901 931 2 42

