#Node Fibre Channel Run IPW Photons PIN RMS EXTA-nhit
#-------------------------------------
1 FT001A 12 253803 4462 568907 3719 176 39
2 FT002A 19 253805 7413 5862 1056 175 43
3 FT003A 35 253808 6910 17467 961 174 34
4 FT004A 55 253811 7680 13751 944 175 34
5 FT005A 15 253815 8066 5501 967 175 41
6 FT006A 14 253821 7890 14303 693 175 44
7 FT007A 23 253823 7645 12027 1193 176 41
8 FT008A 9 253825 7180 12072 807 175 41
9 FT009A 3 253827 8100 6278 1027 174 42
10 FT010A 17 253829 6990 9979 780 175 41
11 FT011A 24 253832 6900 7415 890 174 22
12 FT012A 50 253835 5953 323912 3573 176 40
13 FT013A 47 253837 7970 14051 679 175 41
14 FT014A 33 253842 4655 24744 809 174 36
15 FT015A 4 253844 6065 5962 862 175 41
16 FT016A 11 253847 5670 6731 1045 175 41
17 FT017A 32 253849 10900 2012 877 174 41
18 FT018A 48 254046 6050 20183 1108 175 42
19 FT019A 6 253855 5955 8732 421 174 41
20 FT020A 20 253857 8605 8947 678 175 42
21 FT021A 2 253861 6005 25384 1018 174 43
22 FT022A 34 253863 5975 11362 903 174 43
23 FT023A 16 253865 6550 5799 938 175 42
24 FT024A 31 253867 5990 14086 1245 176 45
25 FT025A 56 253869 6835 5183 885 174 41
26 FT028A 36 253871 8485 7382 628 175 43
27 FT027A 18 253875 6895 17962 955 174 41
28 FT067A 83 253880 5750 18300 1029 2 43
29 FT029A 7 253882 5590 13607 697 175 42
30 FT030A 49 253885 6540 7658 2066 176 43
31 FT031A 1 253887 8185 5195 792 174 41
32 FT032A 53 253889 6310 6263 376 173 41
33 FT033A 43 253893 5730 33569 1187 176 40
34 FT034A 29 253895 7300 53844 3299 176 39
35 FT035A 5 253897 6460 57503 4496 174 41
36 FT036A 54 253899 7925 4182 778 174 41
37 FT037A 30 253901 8247 7573 670 175 41
38 FT038A 41 253903 8850 8456 798 175 40
39 FT039A 85 253905 6790 6968 325 2 39
40 FT040A 51 253907 7016 5882 1283 176 39
41 FT041A 93 253909 7930 14637 548 2 42
42 FT042A 28 253911 7645 7020 869 174 41
43 FT043A 92 253913 5740 14662 637 2 40
44 FT044A 70 253916 5664 10167 483 2 40
45 FT045A 62 253920 7800 22612 867 2 34
46 FT046A 80 253922 8620 95959 1282 2 40
47 FT101A 8 253925 6900 76552 57 85 41
48 FT048A 69 253927 8870 8009 661 2 40
49 FT049A 25 253929 6530 0 1312 176 40
50 FT050A 77 253931 5520 12821 466 2 38
51 FT051A 74 253934 7235 16279 874 2 40
52 FT052A 81 253936 6763 8315 771 2 41
53 FT053A 13 253938 5658 7386 271 162 40
54 FT054A 38 253940 5840 14866 833 174 40
55 FT055A 72 253942 7345 10515 1019 2 42
56 FT056A 52 253947 8528 25972 742 175 39
57 FT057A 95 253949 8798 4444 1134 2 40
58 FT058A 27 253951 8610 3313 732 175 41
59 FT059A 88 253955 8700 8243 850 2 42
60 FT060A 26 253957 6130 8052 794 174 41
61 FT061A 79 253959 6138 10756 4222 2 37
62 FT062A 68 253961 6118 22047 497 2 44
63 FT063A 64 253964 5715 13163 1192 2 41
64 FT064A 75 253966 7784 21465 813 2 39
65 FT065A 84 253968 6240 8773 628 2 40
66 FT066A 89 253971 9545 3266 983 2 41
67 FT094A 82 253973 8104 4693 883 2 41
68 FT068A 78 254052 6490 25102 748 2 35
69 FT069A 90 253977 7992 13361 982 2 41
70 FT070A 91 253979 6672 19252 1317 2 40
71 FT071A 63 253981 6365 9692 1274 2 41
72 FT072A 58 253983 7463 6639 1273 2 39
73 FT073A 44 253985 6928 16027 536 175 42
74 FT074A 94 253987 6100 11836 805 2 41
75 FT075A 42 253989 6535 17758 965 175 40
76 FT076A 61 253996 6420 17432 591 2 47
77 FT077A 76 253998 6875 7429 634 2 41
78 FT078A 60 254001 6600 17529 752 2 41
79 FT079A 67 254003 6067 13513 952 1 40
80 FT080A 46 254005 6706 13782 539 176 39
81 FT081A 21 254007 6332 16286 355 172 42
82 FT082A 37 254009 8730 5569 336 168 42
83 FT083A 45 254011 6670 9499 708 175 41
84 FT084A 39 254013 7510 10688 1077 175 40
85 FT085A 40 254015 8170 4311 900 175 41
86 FT086A 59 254017 5503 11365 1232 2 41
87 FT087A 66 254019 8660 24589 911 2 41
88 FT088A 86 254023 9275 2083 871 2 43
89 FT089A 71 254025 6118 3422 516 2 41
90 FT090A 22 254027 6263 8658 814 174 40
91 FT091A 87 254029 7658 7263 1339 2 41
92 FT092A 65 254031 5240 11744 1963 2 41
22 FT047B 73 254033 7290 0 725 2 41
28 FT026A 10 254035 8842 0 4243 175 40
91 FT093A 57 254037 8922 0 902 2 42

