#Node Fibre Channel Run IPW Photons PIN RMS Nhit
#-------------------------------------
1 FT001A 12 114670 8650 11383 460 175 42
2 FT002A 19 114673 7540 2319 1048 175 41
3 FT003A 35 114675 7315 2312 1093 174 44
4 FT004A 55 114677 8040 1462 979 175 43
5 FT005A 15 114679 8205 2094 980 175 42
6 FT006A 14 114681 8165 3932 698 175 42
7 FT007A 23 114683 7800 4749 1177 175 43
8 FT008A 9 114685 7305 4598 802 175 43
9 FT009A 3 114687 8265 2412 1136 175 43
10 FT010A 17 114689 7120 3831 774 175 42
11 FT011A 24 114691 7175 1192 941 174 43
12 FT012A 50 114693 8800 11572 1674 176 43
13 FT013A 47 114695 8217 5094 683 175 42
14 FT014A 33 114697 4900 6506 858 174 43
15 FT015A 4 114699 6210 2850 905 175 42
16 FT016A 11 114701 5865 2123 1050 175 42
17 FT017A 32 114703 10860 2633 890 174 42
18 FT018A 48 114705 6228 7878 1107 175 41
19 FT019A 6 114707 6085 3126 470 175 42
20 FT020A 20 114709 8795 2786 669 175 43
21 FT021A 2 114711 6385 4113 1041 174 42
22 FT022A 34 114713 6120 4070 958 175 41
23 FT023A 16 114715 6443 9049 936 175 40
24 FT024A 31 114717 6220 4446 1165 175 41
25 FT025A 56 114720 6965 2011 889 174 44
26 FT028A 36 114722 8733 1763 710 175 42
27 FT027A 18 114724 7090 5403 959 174 40
28 FT067A 83 114726 5830 12972 1059 2 40
29 FT029A 7 114728 5970 1742 737 175 41
30 FT030A 49 114730 6585 5420 2075 176 43
31 FT031A 1 114732 8230 3789 823 174 44
32 FT032A 53 114734 6413 2669 381 173 42
33 FT033A 43 114736 6060 6376 1211 176 42
34 FT034A 29 114738 9305 4583 498 175 43
35 FT035A 5 114740 7218 6505 669 175 38
36 FT036A 54 114742 8075 1948 790 174 42
37 FT037A 30 114744 8306 5047 627 175 42
38 FT038A 41 114746 8980 4100 827 174 42
39 FT039A 85 114748 6910 3080 350 2 42
40 FT040A 51 114750 7075 3148 1300 176 42
41 FT041A 93 114752 8103 5962 541 2 42
42 FT042A 28 114754 7615 8510 835 175 41
43 FT043A 92 114756 5845 7727 652 2 43
44 FT044A 70 114787 5787 4936 498 2 43
45 FT045A 62 114789 8093 7553 876 2 42
46 FT046A 80 114794 9430 28161 1080 2 30
47 FT101A 8 114796 7739 13007 914 173 41
48 FT048A 69 114798 9065 2620 683 2 44
49 FT049A 25 114800 5690 17215 1092 175 39
50 FT050A 77 114802 5655 5586 496 2 44
51 FT051A 74 114804 7400 6575 915 2 43
52 FT052A 81 114806 6880 3764 793 2 43
53 FT053A 13 114808 5772 3036 264 161 41
54 FT054A 38 114810 5845 14452 652 175 41
55 FT055A 72 114812 7478 5023 1027 2 42
56 FT056A 52 114817 8860 6725 749 174 42
57 FT057A 95 114819 8917 2399 1149 2 43
58 FT058A 27 114821 8563 4270 679 175 42
59 FT059A 88 114824 8833 4214 848 2 39
60 FT060A 26 114826 6173 6157 759 175 42
61 FT061A 79 114828 6300 4888 1176 2 39
62 FT062A 68 114830 6327 6439 503 2 41
63 FT063A 64 114832 5985 2239 1175 2 42
64 FT064A 75 114834 8044 5544 839 2 43
65 FT065A 84 114836 6372 4165 736 2 41
66 FT066A 89 115672 9645 1899 918 2 39
67 FT094A 82 115674 8212 1838 912 2 42
68 FT068A 78 115676 6852 4316 780 2 41
69 FT069A 90 115678 8250 2881 1004 2 41
70 FT070A 91 115682 6800 11107 1124 2 48
71 FT071A 63 115684 6482 4884 1248 2 39
72 FT072A 58 115686 7557 3805 1249 2 39
73 FT073A 44 115688 7078 6272 542 175 40
74 FT074A 94 115690 6386 3633 800 2 42
75 FT075A 42 115692 6716 6247 988 175 41
76 FT076A 61 115694 6480 13350 574 2 42
77 FT077A 76 115696 6990 3741 652 2 41
78 FT078A 60 115707 6475 27392 783 2 55
79 FT079A 67 115711 6195 5397 984 2 41
80 FT080A 46 115713 6939 4253 544 176 42
81 FT081A 21 115716 6425 8984 320 170 44
82 FT082A 37 115718 8855 2498 0 0 42
83 FT083A 45 115722 6830 3969 718 175 44
84 FT084A 39 115725 7670 3539 1037 175 40
85 FT085A 40 115728 8250 2108 766 175 42
86 FT086A 59 115730 5566 7410 1256 2 44
87 FT087A 66 115732 9035 4327 946 2 43
88 FT088A 86 115738 9145 3501 884 2 45
89 FT089A 71 115740 6093 4073 687 2 40
90 FT090A 22 115742 6438 2771 798 174 44
91 FT091A 87 115744 7817 3016 1364 2 41
92 FT092A 65 115746 5395 5135 1969 2 43
22 FT047B 73 115749 6153 1761 772 2 47
28 FT026A 10 115751 4645 4471 1092 175 46
91 FT093A 57 115753 6092 5890 948 2 45
