#Node Fibre Channel Run IPW Photons PIN RMS Nhit
#-------------------------------------        
1 FT001A 12 110264 8700 9155 485 175 42
2 FT002A 19 110266 7540 2319 1051 175 43
3 FT003A 35 110268 7320 2226 1077 174 41
4 FT004A 55 110269 8030 1512 980 175 44
5 FT005A 15 110282 8210 2019 977 174 42
6 FT006A 14 110289 8190 3349 697 175 41
7 FT007A 23 110293 7800 4749 1178 176 44
8 FT008A 9 110932 7300 4790 805 175 43
9 FT009A 3 110303 8260 2489 1144 175 45
10 FT010A 17 110309 7130 3496 775 175 42
11 FT011A 24 110314 7180 1130 934 174 40
12 FT012A 50 110321 8790 12140 1673 176 43
13 FT013A 47 110329 8210 5294 684 175 45
14 FT014A 33 110337 4910 6036 853 174 44
15 FT015A 4 110342 6210 2850 898 175 43
16 FT016A 11 110347 5870 2045 1054 175 44
17 FT017A 32 110350 10870 2478 886 174 42
18 FT018A 48 110357 6220 8279 1104 175 44
19 FT019A 6 110363 6080 3302 474 175 42
20 FT020A 20 110367 8800 2674 666 175 41
21 FT021A 2 110372 6380 4272 1055 174 46
22 FT022A 34 110376 6120 4070 958 174 42
23 FT023A 16 110385 6450 8821 942 175 41
24 FT024A 31 110392 6220 4446 1175 175 46
25 FT025A 56 110398 6960 2097 892 174 44
26 FT028A 36 110413 8730 1804 728 175 43
27 FT027A 18 110407 7090 5403 963 174 42
28 FT067A 83 110744 5825 13292 1073 2 43
29 FT029A 7 110415 5966 1806 733 175 41
30 FT030A 49 110426 6590 5178 2068 176 42
31 FT031A 1 110430 8210 4358 827 174 44
32 FT032A 53 110434 6410 2740 385 173 45
33 FT033A 43 110440 6060 6376 1226 176 43
34 FT034A 29 110964 9380 3728 471 175 42
35 FT035A 5 110972 7270 4691 681 175 43
36 FT036A 54 110468 8075 1948 788 174 42
37 FT037A 30 110477 8320 4597 626 175 42
38 FT038A 41 110481 8975 4238 859 174 45
39 FT039A 85 110487 6920 2857 349 2 42
40 FT040A 51 110496 7075 3148 1302 176 43
41 FT041A 93 110501 8110 5717 544 2 43
42 FT042A 28 110507 7630 7765 836 175 40
43 FT043A 92 110510 5855 7196 652 2 43
44 FT044A 70 110516 5795 4630 498 2 43
45 FT045A 62 110520 8110 6925 866 2 41
46 FT046A 80 110997 9488 25044 1098 2 38
47 FT101A 8 111022 7739 13007 922 173 46
48 FT048A 69 110587 9070 2533 680 2 43
49 FT049A 25 111033 5705 16650 1098 175 47
50 FT050A 77 110608 5665 5198 492 2 44
51 FT051A 74 110614 7415 5945 912 2 41
52 FT052A 81 110619 6875 3912 793 2 43
53 FT053A 13 110625 5772 3036 267 162 42
54 FT054A 38 110637 5845 14452 647 175 40
55 FT055A 72 110645 7485 4787 1019 2 42
56 FT056A 52 110650 8945 3895 752 174 42
57 FT057A 95 110660 8922 2330 1139 2 43
58 FT058A 27 110666 8560 4332 679 175 44
59 FT059A 88 110671 8840 4042 851 2 41
60 FT060A 26 111036 6180 5859 753 175 42
61 FT061A 79 111042 6300 4888 1172 2 41
62 FT062A 68 110700 6333 6114 504 2 42
63 FT063A 64 111044 5925 3609 1170 2 40
64 FT064A 75 110725 8055 5108 840 2 43
65 FT065A 84 110731 6380 3949 739 2 41
66 FT066A 89 110736 9633 2037 935 2 44
67 FT094A 82 110751 8217 1756 909 2 40
68 FT068A 78 110757 6865 3898 779 2 42
69 FT069A 90 110762 8255 2768 1007 2 43
70 FT070A 91 110768 6830 9657 1128 2 44
71 FT071A 63 110773 6490 4615 1252 2 43
72 FT072A 58 110777 7565 3625 1252 2 43
73 FT073A 44 110781 7075 6428 549 175 45
74 FT074A 94 110785 6395 3441 794 2 42
75 FT075A 42 110793 6720 6072 990 175 41
76 FT076A 61 110796 6500 11923 555 2 39
77 FT077A 76 110800 7000 3468 656 2 43
78 FT078A 60 111050 6520 23906 765 2 43
79 FT079A 67 110823 6200 5128 985 2 43
80 FT080A 46 110833 6947 3993 540 175 40
81 FT081A 21 110841 6450 7458 310 169 39
82 FT082A 37 110847 8855 2498 0 0 44
83 FT083A 45 110854 6830 3969 716 175 44
84 FT084A 39 110858 7662 3778 1041 175 44
85 FT085A 40 110865 8253 2057 766 175 43
86 FT086A 59 110872 5575 6885 1251 2 43
87 FT087A 66 110878 9040 4160 944 2 44
88 FT088A 86 111058 9050 4844 899 2 47
89 FT089A 71 110891 6105 3748 685 2 41
90 FT090A 22 110896 6450 2493 795 174 42
91 FT091A 87 110902 7830 2758 1354 2 41
92 FT092A 65 110910 5405 4795 1950 2 43
22 FT047B 73 110578 6174 1656 763 2 46
28 FT026A 10 110403 4660 3870 1090 175 44
91 FT093A 57 110905 6100 5507 941 2 43
