#Node Fibre Channel Run IPW Photons PIN RMS NHit
#-------------------------------------        
1 FT001A 12 204401 3810 668934 3707 176 39
2 FT002A 19 204403 5900 151914 1056 175 38
3 FT003A 35 204409 5330 154382 970 174 37
4 FT004A 55 204411 6500 128230 959 175 40
5 FT005A 15 204413 6400 165992 964 175 38
6 FT006A 14 204415 5920 215908 689 175 40
7 FT007A 23 204418 6450 0 0 0 42
8 FT008A 9 204420 6010 192862 784 175 36
9 FT009A 3 204423 6350 116027 1028 175 39
10 FT010A 17 204425 6000 135457 767 174 36
11 FT011A 24 204429 4550 230815 921 174 50
12 FT012A 50 204431 4900 448284 3558 176 37
13 FT013A 47 204437 6300 135968 674 175 35
14 FT014A 33 204439 4260 76437 780 174 35
15 FT015A 4 204441 4820 62092 865 175 37
16 FT016A 11 204442 4800 55140 1025 175 35
17 FT017A 32 204444 9080 84914 876 174 38
18 FT018A 48 204446 5150 142701 1103 175 38
19 FT019A 6 204448 4800 117434 410 174 45
20 FT020A 20 204450 6666 207867 674 175 40
21 FT021A 2 204452 4780 184009 1006 174 39
22 FT022A 34 204454 4780 166447 891 175 39
23 FT023A 16 204456 5340 66875 932 175 42
24 FT024A 31 204460 4666 126601 1233 176 40
25 FT025A 56 204462 5700 94366 884 174 41
26 FT028A 36 204464 6770 131983 624 175 43
27 FT027A 18 204467 5760 152936 967 174 48
28 FT067A 83 204469 4200 204070 1020 2 42
29 FT029A 7 204471 4080 114787 703 175 45
30 FT030A 49 204473 5620 106119 2056 175 40
31 FT031A 1 204475 6740 147261 773 175 37
32 FT032A 53 204477 5050 102475 367 173 40
33 FT033A 43 204479 4360 319959 1186 176 42
34 FT034A 29 204481 5640 108241 3230 176 38
35 FT035A 5 204483 5360 197090 4437 174 41
36 FT036A 54 204485 6340 72041 777 174 40
37 FT037A 30 204487 6820 177158 669 175 42
38 FT038A 41 204489 7050 188734 796 174 44
39 FT039A 85 204491 5440 132377 314 2 39
40 FT040A 51 204493 5850 179083 1282 176 40
41 FT041A 93 204495 6690 142482 520 2 40
42 FT042A 28 204497 6320 145428 852 174 42
43 FT043A 92 204499 4800 129183 617 2 39
44 FT044A 70 204501 4470 129530 456 2 40
45 FT045A 62 204503 6100 169849 862 2 37
46 FT046A 80 204505 7300 280303 1287 2 40
47 FT101A 8 204507 5600 240532 43 73 42
48 FT048A 69 204509 7150 140998 653 2 41
49 FT049A 25 204511 5140 57563 1333 176 39
50 FT050A 77 204513 4695 102206 458 2 40
51 FT051A 74 204515 6160 148826 863 2 35
52 FT052A 81 204517 5305 154821 743 2 39
53 FT053A 13 204519 4720 101630 253 160 35
54 FT054A 38 204521 4665 214845 825 174 38
55 FT055A 72 204523 6228 95685 1015 2 37
56 FT056A 52 204525 7290 165348 732 175 36
57 FT057A 95 204527 6745 109521 1129 2 40
58 FT058A 27 204529 6855 106073 697 175 40
59 FT059A 88 204531 7398 90749 832 2 38
60 FT060A 26 204533 4770 135901 774 175 40
61 FT061A 79 204535 5254 80792 4199 2 36
62 FT062A 68 204537 4795 238623 476 2 40
63 FT063A 64 204541 4830 91960 1176 2 36
64 FT064A 75 204543 6697 157862 809 2 38
66 FT066A 89 204545 7238 95528 944 2 38
67 FT094A 82 204547 6176 156970 876 2 39
68 FT068A 78 204549 5540 124514 753 2 39
69 FT069A 90 204551 6897 104973 968 2 40
70 FT070A 91 204553 5482 146998 1290 2 39
71 FT071A 63 204555 5322 87737 1275 2 40
72 FT072A 58 204557 6336 81701 1230 2 40
73 FT073A 44 204559 5827 168020 529 175 38
74 FT074A 94 204561 4960 80577 788 2 42
75 FT075A 42 204563 5128 220855 958 174 40
76 FT076A 61 204565 5311 134039 577 2 41
77 FT077A 76 204567 5390 129921 591 2 40
78 FT078A 60 204569 4700 283598 729 2 38
79 FT079A 67 204571 4824 208177 929 2 38
80 FT080A 46 204573 5571 92843 518 175 40
81 FT081A 21 204575 5405 150702 341 171 40
82 FT082A 37 204577 6850 172769 320 167 40
83 FT083A 45 204579 5265 132982 691 175 39
84 FT084A 39 204581 6137 186223 1078 175 40
85 FT085A 40 204583 6463 173409 897 175 43
87 FT087A 66 204585 7050 223518 901 2 42
88 FT088A 86 204601 6765 103342 845 2 39
90 FT090A 22 204589 4992 142695 803 174 38
91 FT091A 87 204605 5540 161655 1328 2 40
92 FT092A 65 204593 4257 95881 1887 2 38
22 FT047B 73 204595 5808 11667 692 2 38
28 FT026A 10 204597 7508 0 4207 175 37
91 FT093A 57 204599 7555 0 877 2 39

