#Node Fibre Channel Run IPW Photons PIN RMS Nhit
#-------------------------------------
1 FT001A 12 117790 8670 10492 478 175 44
2 FT002A 19 117578 7545 2207 1041 175 42
3 FT003A 35 117580 7340 1885 1061 174 40
4 FT004A 55 117582 8040 1462 968 175 41
5 FT005A 15 117584 8215 1944 965 175 40
6 FT006A 14 117586 8165 3932 690 175 41
7 FT007A 23 117588 7815 4249 1158 175 39
8 FT008A 9 117590 7330 3639 789 175 40
9 FT009A 3 117592 8270 2334 1125 175 41
10 FT010A 17 117594 7140 3161 760 175 38
11 FT011A 24 117598 7190 1007 923 174 40
12 FT012A 50 117792 8820 10617 1655 176 39
13 FT013A 47 117602 8230 4722 675 175 40
14 FT014A 33 117604 4920 5567 845 174 40
15 FT015A 4 117606 6220 2677 882 175 41
16 FT016A 11 117608 5890 1733 1036 175 41
17 FT017A 32 117610 10900 2012 851 174 38
18 FT018A 48 117612 6225 8028 1105 175 40
19 FT019A 6 117614 6090 2950 467 175 40
20 FT020A 20 117616 8810 2484 653 175 40
21 FT021A 2 117618 6390 3954 1035 174 41
22 FT022A 34 117620 6135 3520 947 174 40
23 FT023A 16 117622 6450 8821 905 175 36
24 FT024A 31 117624 6290 2649 1158 175 42
25 FT025A 56 117626 6965 2011 881 175 41
26 FT028A 36 117628 8740 1668 704 175 43
27 FT027A 18 117630 7100 4925 955 174 41
28 FT067A 83 117632 5845 12013 1044 2 40
29 FT029A 7 117634 5975 1661 736 175 41
30 FT030A 49 117636 6600 4693 2053 176 39
31 FT031A 1 117638 8265 2883 812 175 40
32 FT032A 53 117640 6420 2503 371 173 41
33 FT033A 43 117642 6060 6376 1204 175 42
34 FT034A 29 117644 9350 4063 481 175 40
35 FT035A 5 117646 7230 6063 673 175 40
36 FT036A 54 117654 8080 1923 787 174 41
37 FT037A 30 117656 8380 2852 630 175 44
38 FT038A 41 117658 8980 4100 823 174 44
39 FT039A 85 117660 6925 2745 345 2 41
40 FT040A 51 117662 7075 3148 1292 175 44
41 FT041A 93 117664 8120 5366 547 2 42
42 FT042A 28 117666 7670 6002 841 174 43
43 FT043A 92 117668 5860 6941 646 2 42
44 FT044A 70 117670 5810 4143 489 2 41
45 FT045A 62 117672 8110 6925 872 2 43
46 FT046A 80 117779 9410 29417 1089 2 35
47 FT101A 8 117782 7680 16134 910 174 38
48 FT048A 69 117680 9100 2015 675 2 40
49 FT049A 25 117784 5590 23192 1076 175 29
50 FT050A 77 117684 5675 4810 477 2 39
51 FT051A 74 117686 7435 5105 903 2 40
52 FT052A 81 117688 6900 3173 779 2 39
53 FT053A 13 117690 5790 2499 257 160 38
54 FT054A 38 117692 5855 13597 648 174 42
55 FT055A 72 117694 7500 4283 1021 2 40
56 FT056A 52 117696 8885 5819 729 174 37
57 FT057A 95 117698 8920 2357 1149 2 44
58 FT058A 27 117700 8635 2849 693 175 44
59 FT059A 88 117702 8840 4042 847 2 42
60 FT060A 26 117704 6250 3592 768 174 45
61 FT061A 79 117786 6260 6278 1159 2 31
62 FT062A 68 117708 6345 5464 498 2 42
63 FT063A 64 117788 5920 3747 1174 2 43
64 FT064A 75 117712 8075 4401 835 2 45
65 FT065A 84 117714 6385 3814 746 2 45
66 FT066A 89 117716 9650 1841 935 2 46
67 FT094A 82 117718 8225 1626 912 2 43
68 FT068A 78 117720 6865 3898 783 2 46
69 FT069A 90 117722 8265 2541 1003 2 44
70 FT070A 91 117724 6820 10140 1101 2 40
71 FT071A 63 117776 6495 4448 1260 2 45
72 FT072A 58 117728 7575 3400 1251 2 44
73 FT073A 44 117730 7090 5647 538 175 42
74 FT074A 94 117732 6395 3441 823 2 42
75 FT075A 42 117734 6720 6072 978 175 44
76 FT076A 61 117736 6500 11923 575 2 43
77 FT077A 76 117738 7015 3119 634 2 40
78 FT078A 60 117740 6500 25534 748 2 44
79 FT079A 67 117742 6215 4530 969 2 38
80 FT080A 46 117744 6960 3644 536 176 40
81 FT081A 21 117746 6455 7217 302 168 38
82 FT082A 37 117748 8870 2253 0 0 43
83 FT083A 45 117750 6835 3844 718 175 43
84 FT084A 39 117752 7690 2943 1031 175 39
85 FT085A 40 117754 8275 1684 756 175 40
86 FT086A 59 117756 5590 6011 1245 2 43
87 FT087A 66 117758 9060 3606 940 2 44
88 FT088A 86 117760 9180 3048 869 2 43
89 FT089A 71 117762 6050 5299 685 2 40
90 FT090A 22 117764 6455 2401 796 174 44
91 FT091A 87 117766 7835 2658 1355 2 41
92 FT092A 65 117768 5420 4293 1957 2 44
22 FT047B 73 117770 6180 1626 755 2 43
28 FT026A 10 117772 4665 3693 1084 175 43
91 FT093A 57 117774 6120 4699 936 2 42
