#Fibre Channel Run IPW Photons PIN RMS
#-------------------------------------
FT001A 12 110264  8700   9155   485   175
FT002A 19 110266  7540   2319  1051   175
FT003A 35 110268  7320   2226  1077   174
FT004A 55 110269  8030   1512   980   175
FT005A 15 110282  8210   2019   977   174
FT006A 14 110289  8190   3349   697   175
FT007A 23 110293  7800   4749  1178   176
FT008A  9 110932  7300   4790   805   175
FT009A  3 110303  8260   2489  1144   175
FT010A 17 110309  7130   3496   775   175
FT011A 24 110314  7180   1130   934   174
FT012A 50 110321  8790  12140  1673   176
FT013A 47 110329  8210   5294   684   175
FT014A 33 110337  4910   6036   853   174
FT015A  4 110342  6210   2850   898   175
FT016A 11 110347  5870   2045  1054   175
FT017A 32 110350 10870   2478   886   174
FT018A 48 110357  6220   8279  1104   175
FT019A  6 110363  6080   3302   474   175
FT020A 20 110367  8800   2674   666   175
FT021A  2 110372  6380   4272  1055   174
FT022A 34 110376  6120   4070   958   174
FT023A 16 110385  6450   8821   942   175
FT024A 31 110392  6220   4446  1175   175
FT025A 56 110398  6960   2097   892   174
FT028A 36 110413  8730   1804   728   175
FT027A 18 110407  7090   5403   963   174
FT067A 83 110744  5825  13292  1073     2
FT029A  7 110415  5966   1806   733   175
FT030A 49 110426  6590   5178  2068   176
FT031A  1 110430  8210   4358   827   174
FT032A 53 110434  6410   2740   385   173
FT033A 43 110440  6060   6376  1226   176
FT034A 29 110964  9380   3728   471   175
FT035A  5 110972  7270   4691   681   175
FT036A 54 110468  8075   1948   788   174
FT037A 30 110477  8320   4597   626   175
FT038A 41 110481  8975   4238   859   174
FT039A 85 110487  6920   2857   349     2
FT040A 51 110496  7075   3148  1302   176
FT041A 93 110501  8110   5717   544     2
FT042A 28 110507  7630   7765   836   175
FT043A 92 110510  5855   7196   652     2
FT044A 70 110516  5795   4630   498     2
FT045A 62 110520  8110   6925   866     2
FT046A 80 110997  9488  25044  1098     2
FT101A  8 111022  7739  13007   922   173
FT048A 69 110587  9070   2533   680     2
FT049A 25 111033  5705  16650  1098   175
FT050A 77 110608  5665   5198   492     2
FT051A 74 110614  7415   5945   912     2
FT052A 81 110619  6875   3912   793     2
FT053A 13 110625  5772   3036   267   162
FT054A 38 110637  5845  14452   647   175
FT055A 72 110645  7485   4787  1019     2
FT056A 52 110650  8945   3895   752   174
FT057A 95 110660  8922   2330  1139     2
FT058A 27 110666  8560   4332   679   175
FT059A 88 110671  8840   4042   851     2
FT060A 26 111036  6180   5859   753   175
FT061A 79 111042  6300   4888  1172     2
FT062A 68 110700  6333   6114   504     2
FT063A 64 111044  5925   3609  1170     2
FT064A 75 110725  8055   5108   840     2
FT065A 84 110731  6380   3949   739     2
FT066A 89 110736  9633   2037   935     2
FT094A 82 110751  8217   1756   909     2
FT068A 78 110757  6865   3898   779     2
FT069A 90 110762  8255   2768  1007     2
FT070A 91 110768  6830   9657  1128     2
FT071A 63 110773  6490   4615  1252     2
FT072A 58 110777  7565   3625  1252     2
FT073A 44 110781  7075   6428   549   175
FT074A 94 110785  6395   3441   794     2
FT075A 42 110793  6720   6072   990   175
FT076A 61 110796  6500  11923   555     2
FT077A 76 110800  7000   3468   656     2
FT078A 60 111050  6520  23906   765     2
FT079A 67 110823  6200   5128   985     2
FT080A 46 110833  6947   3993   540   175
FT081A 21 110841  6450   7458   310   169
FT082A 37 110847  8855   2498     0     0
FT083A 45 110854  6830   3969   716   175
FT084A 39 110858  7662   3778  1041   175
FT085A 40 110865  8253   2057   766   175
FT086A 59 110872  5575   6885  1251     2
FT087A 66 110878  9040   4160   944     2
FT088A 86 111058  9050   4844   899     2
FT089A 71 110891  6105   3748   685     2
FT090A 22 110896  6450   2493   795   174
FT091A 87 110902  7830   2758  1354     2
FT092A 65 110910  5405   4795  1950     2
FT047B 73 110578  6174   1656   763     2
FT026A 10 110403  4660   3870  1090   175
FT093A 57 110905  6100   5507   941     2
