#Fibre Run trigger_delay fibre_delay
#-------------------------------------
FT001A 253803  900 17.75
FT002A 253805  900 17.50
FT003A 253808  900 16.50
FT004A 253811  900 15.00
FT005A 253815  900 17.75
FT006A 253821  900 16.50
FT007A 253823  900 20.75
FT008A 253825  900 17.25
FT009A 253827  900 21.50
FT010A 253829  900 14.75
FT011A 253832  900 19.00
FT012A 253835  900 17.75
FT013A 253837  900 17.00
FT014A 253842  900 10.75
FT015A 253844  900 19.00
FT016A 253847  900 17.50
FT017A 253849  900 14.25
FT019A 253855  900 15.50
FT020A 253857  900 20.50
FT021A 253861  900 17.00
FT022A 253863  900 14.75
FT023A 253865  900  7.50
FT024A 253867  900 15.00
FT025A 253869  900 15.50
FT028A 253871  900 17.25
FT027A 253875  900  8.25
FT067A 253880  900 19.00
FT029A 253882  900 18.25
FT030A 253885  900  5.75
FT031A 253887  900 19.25
FT032A 253889  900 13.00
FT033A 253893  900 12.75
FT034A 253895  900 18.00
FT035A 253897  900 18.50
FT036A 253899  900 19.00
FT037A 253901  900 17.75
FT038A 253903  900 17.50
FT039A 253905  900 18.00
FT040A 253907  900 14.00
FT041A 253909  900 18.75
FT042A 253911  900 15.25
FT043A 253913  900 13.50
FT044A 253916  900 18.50
FT045A 253920  900 19.75
FT046A 253922  900 21.25
FT101A 253925  900 20.25
FT048A 253927  900 20.50
FT049A 253929  900 18.50
FT050A 253931  900 19.25
FT051A 253934  900 20.00
FT052A 253936  900 22.50
FT053A 253938  900 12.50
FT054A 253940  900 15.50
FT055A 253942  900 18.25
FT056A 253947  900  9.50
FT057A 253949  900 21.00
FT058A 253951  900 17.00
FT059A 253955  900 17.50
FT060A 253957  900 18.50
FT061A 253959  900 21.50
FT062A 253961  900 18.50
FT063A 253964  900 20.25
FT064A 253966  900 17.75
FT065A 253968  900 17.75
FT066A 253971  900 22.50
FT094A 253973  900  3.25
FT069A 253977  900 12.25
FT070A 253979  900 16.75
FT071A 253981  900 11.75
FT072A 254019  900 22.50
FT073A 253985  900 13.00
FT074A 253987  900 11.50
FT075A 253989  900 15.75
FT076A 253996  900 18.50
FT077A 253998  900 16.00
FT078A 254001  900  8.50
FT079A 254003  900 16.25
FT080A 254005  900  9.75
FT081A 254007  900 12.50
FT082A 254009  900 17.00
FT083A 254011  900 13.75
FT084A 254013  900 17.00
FT085A 254015  900  0.00
FT086A 254017  900 12.25
FT087A 253983  900 17.00
FT088A 254023  900 20.50
FT089A 254025  900 12.00
FT090A 254027  900 14.00
FT091A 254029  900 17.75
FT092A 254031  900 24.25
FT047B 254033  900 13.75
FT026A 254035  900 13.75
FT093A 254037  900 17.50
FT018A 254046  900 14.50
FT068A 254052  900 18.25
