#Fibre Run trigger_delay fibre_delay
#-------------------------------------
FT001A 114670  900 17.75
FT002A 114673  900 17.50
FT003A 114675  900 16.50
FT004A 114677  900 15.00
FT005A 114679  900 17.75
FT006A 114681  900 16.50
FT007A 114683  900 20.75
FT008A 114685  900 17.25
FT009A 114687  900 21.50
FT010A 114689  900 14.75
FT011A 114691  900 19.00
FT012A 114693  900 17.75
FT013A 114695  900 17.00
FT014A 114697  900 10.75
FT015A 114699  900 19.00
FT016A 114701  900 17.50
FT017A 114703  900 14.25
FT018A 114705  900 14.50
FT019A 114707  900 15.50
FT020A 114709  900 20.50
FT021A 114711  900 17.00
FT022A 114713  900 14.75
FT023A 114715  900  7.50
FT024A 114717  900 15.00
FT025A 114720  900 15.50
FT028A 114722  900 17.25
FT027A 114724  900  8.25
FT067A 114726  900 19.00
FT029A 114728  900 18.25
FT030A 114730  900  5.75
FT031A 114732  900 19.25
FT032A 114734  900 13.00
FT033A 114736  900 12.75
FT034A 114738  900 18.00
FT035A 114740  900 18.50
FT036A 114742  900 19.00
FT037A 114744  900 17.75
FT038A 114746  900 17.50
FT039A 114748  900 18.00
FT040A 114750  900 14.00
FT041A 114752  900 18.75
FT042A 114754  900 15.25
FT043A 114756  900 13.50
FT044A 114787  900 18.50
FT045A 114789  900 19.75
FT046A 114794  900 21.25
FT101A 114796  900 20.25
FT048A 114798  900 20.50
FT049A 114800  900 18.50
FT050A 114802  900 19.25
FT051A 114804  900 20.00
FT052A 114806  900 22.50
FT053A 114808  900 12.50
FT054A 114810  900 15.50
FT055A 114812  900 18.25
FT056A 114817  900  9.50
FT057A 114819  900 21.00
FT058A 114821  900 17.00
FT059A 114824  900 17.50
FT060A 114826  900 18.50
FT061A 114828  900 21.50
FT062A 114830  900 18.50
FT063A 114832  900 20.25
FT064A 114834  900 17.75
FT065A 114836  900 17.75
FT066A 115672  900 22.50
FT094A 115674  900  3.25
FT068A 115676  900 18.25
FT069A 115678  900 12.25
FT070A 115682  900 16.75
FT071A 115684  900 11.75
FT072A 115686  900 17.00
FT073A 115688  900 13.00
FT074A 115690  900 11.50
FT075A 115692  900 15.75
FT076A 115694  900 18.50
FT077A 115696  900 16.00
FT078A 115707  900  8.50
FT079A 115711  900 16.25
FT080A 115713  900  9.75
FT081A 115716  900 12.50
FT082A 115718  900 17.00
FT083A 115722  900 13.75
FT084A 115725  900 17.00
FT085A 115728  900  0.00
FT086A 115730  900 12.25
FT087A 115732  900 22.50
FT088A 115738  900 20.50
FT089A 115740  900 12.00
FT090A 115742  900 14.00
FT091A 115744  900 17.75
FT092A 115746  900 24.25
FT047B 115749  900 13.75
FT026A 115751  900 13.75
FT093A 115753  900 17.50
