#Fibre Run trigger_delay fibre_delay
#-------------------------------------
FT001A 102260  650 17.75
FT002A 102264  650 17.50
FT003A 102268  650 16.50
FT004A 102161  650 15.00
FT005A 102274  650 17.75
FT006A 102278  650 16.50
FT007A 102281  650 20.75
FT008A 102286  650 17.25
FT009A 102290  650 21.50
FT010A 102165  650 14.75
FT011A 102293  650 19.00
FT012A 102296  650 17.75
FT013A 102300  650 17.00
FT014A 102304  650 10.75
FT015A 102168  650 19.00
FT016A 102306  650 17.50
FT017A 102310  650 14.25
FT018A 102313  650 14.50
FT019A 102315  650 15.50
FT020A 101374  700 20.50
FT021A 101381  700 17.00
FT022A 101386  700 14.75
FT023A 101391  700  7.50
FT024A 101404  700 15.00
FT025A 101410  700 15.50
FT028A 101500  700 17.25
FT027A 101498  700  8.25
FT026A 101414  700 13.75
FT029A 101502  700 18.25
FT030A 101505  650  5.75
FT031A 101509  650 19.25
FT032A 101512  650 13.00
FT033A 101515  650 12.75
FT034A 101530  650 18.00
FT035A 101533  650 18.50
FT036A 101528  650 19.00
FT037A 101537  650 17.75
FT038A 101543  650 17.50
FT039A 101548  650 18.00
FT040A 101553  650 14.00
FT041A 101558  650 18.75
FT042A 101560  650 15.25
FT043A 101564  650 13.50
FT044A 101567  650 18.50
FT045A 101570  650 19.75
FT046A 101579  650 21.25
FT101A 102157  650 20.25
FT048A 101705  650 20.50
FT049A 101717  650 18.50
FT050A 101721  650 19.25
FT051A 101726  650 20.00
FT052A 101730  650 22.50
FT053A 101735  650 12.50
FT054A 101740  650 15.50
FT055A 101745  650 18.25
FT056A 101749  650  9.50
FT057A 101756  650 21.00
FT058A 101759  650 17.00
FT059A 101763  650 17.50
FT060A 101771  650 18.50
FT061A 101774  650 21.50
FT062A 101780  650 18.50
FT063A 101787  650 20.25
FT064A 101793  650 17.75
FT065A 101795  650 17.75
FT066A 101799  650 22.50
FT094A 101933  650  3.25
FT068A 101806  650 18.25
FT069A 101809  650 12.25
FT070A 101811  650 16.75
FT071A 101815  650 11.75
FT072A 101819  650 17.00
FT073A 101822  650 13.00
FT074A 101824  650 11.50
FT075A 101827  650 15.75
FT076A 101831  650 18.50
FT077A 101834  650 16.00
FT078A 101839  650  8.50
FT079A 101842  650 16.25
FT080A 101845  650  9.75
FT081A 101849  650 12.50
FT082A 101852  650 17.00
FT083A 102178  650 13.75
FT084A 101889  650 17.00
FT085A 101892  650  0.00
FT086A 101895  650 12.25
FT087A 101898  650 22.50
FT088A 101903  650 20.50
FT089A 101905  650 12.00
FT090A 101910  650 14.00
FT091A 101913  650 17.75
FT092A 101915  650 24.25
FT047A 101944  650 13.75
FT067A 102183  650 19.00
FT093A 101929  650 17.50
