#Fibre Run trigger_delay fibre_delay
#-------------------------------------
FT001A 117790  900 17.75
FT002A 117578  900 17.50
FT003A 117580  900 16.50
FT004A 117582  900 15.00
FT005A 117584  900 17.75
FT006A 117586  900 16.50
FT007A 117588  900 20.75
FT008A 117590  900 17.25
FT009A 117592  900 21.50
FT010A 117594  900 14.75
FT011A 117598  900 19.00
FT012A 117792  900 17.75
FT013A 117602  900 17.00
FT014A 117604  900 10.75
FT015A 117606  900 19.00
FT016A 117608  900 17.50
FT017A 117610  900 14.25
FT018A 117612  900 14.50
FT019A 117614  900 15.50
FT020A 117616  900 20.50
FT021A 117618  900 17.00
FT022A 117620  900 14.75
FT023A 117622  900  7.50
FT024A 117624  900 15.00
FT025A 117626  900 15.50
FT028A 117628  900 17.25
FT027A 117630  900  8.25
FT067A 117632  900 19.00
FT029A 117634  900 18.25
FT030A 117636  900  5.75
FT031A 117638  900 19.25
FT032A 117640  900 13.00
FT033A 117642  900 12.75
FT034A 117644  900 18.00
FT035A 117646  900 18.50
FT036A 117654  900 19.00
FT037A 117656  900 17.75
FT038A 117658  900 17.50
FT039A 117660  900 18.00
FT040A 117662  900 14.00
FT041A 117664  900 18.75
FT042A 117666  900 15.25
FT043A 117668  900 13.50
FT044A 117670  900 18.50
FT045A 117672  900 19.75
FT046A 117779  900 21.25
FT101A 117782  900 20.25
FT048A 117680  900 20.50
FT049A 117784  900 18.50
FT050A 117684  900 19.25
FT051A 117686  900 20.00
FT052A 117688  900 22.50
FT053A 117690  900 12.50
FT054A 117692  900 15.50
FT055A 117694  900 18.25
FT056A 117696  900  9.50
FT057A 117698  900 21.00
FT058A 117700  900 17.00
FT059A 117702  900 17.50
FT060A 117704  900 18.50
FT061A 117786  900 21.50
FT062A 117708  900 18.50
FT063A 117788  900 20.25
FT064A 117712  900 17.75
FT065A 117714  900 17.75
FT066A 117716  900 22.50
FT094A 117718  900  3.25
FT068A 117720  900 18.25
FT069A 117722  900 12.25
FT070A 117724  900 16.75
FT071A 117776  900 11.75
FT072A 117728  900 17.00
FT073A 117730  900 13.00
FT074A 117732  900 11.50
FT075A 117734  900 15.75
FT076A 117736  900 18.50
FT077A 117738  900 16.00
FT078A 117740  900  8.50
FT079A 117742  900 16.25
FT080A 117744  900  9.75
FT081A 117746  900 12.50
FT082A 117748  900 17.00
FT083A 117750  900 13.75
FT084A 117752  900 17.00
FT085A 117754  900  0.00
FT086A 117756  900 12.25
FT087A 117758  900 22.50
FT088A 117760  900 20.50
FT089A 117762  900 12.00
FT090A 117764  900 14.00
FT091A 117766  900 17.75
FT092A 117768  900 24.25
FT047B 117770  900 13.75
FT026A 117772  900 13.75
FT093A 117774  900 17.50
