#Fibre Run trigger_delay fibre_delay
#-------------------------------------
FT001A 110264 1000 17.75
FT002A 110266 1000 17.50
FT003A 110268 1000 16.50
FT004A 110269 1000 15.00
FT005A 110282 1000 17.75
FT006A 110289 1000 16.50
FT007A 110293 1000 20.75
FT008A 110932 1000 17.25
FT009A 110303 1000 21.50
FT010A 110309 1000 14.75
FT011A 110314 1000 19.00
FT012A 110321 1000 17.75
FT013A 110329 1000 17.00
FT014A 110337 1000 10.75
FT015A 110342 1000 19.00
FT016A 110347 1000 17.50
FT017A 110350 1000 14.25
FT018A 110357 1000 14.50
FT019A 110363 1000 15.50
FT020A 110367 1000 20.50
FT021A 110372 1000 17.00
FT022A 110376 1000 14.75
FT023A 110385 1000  7.50
FT024A 110392 1000 15.00
FT025A 110398 1000 15.50
FT028A 110413 1000 17.25
FT027A 110407 1000  8.25
FT067A 110744 1000 19.00
FT029A 110415 1000 18.25
FT030A 110426 1000  5.75
FT031A 110430 1000 19.25
FT032A 110434 1000 13.00
FT033A 110440 1000 12.75
FT034A 110964 1000 18.00
FT035A 110972 1000 18.50
FT036A 110468 1000 19.00
FT037A 110477 1000 17.75
FT038A 110481 1000 17.50
FT039A 110487 1000 18.00
FT040A 110496 1000 14.00
FT041A 110501 1000 18.75
FT042A 110507 1000 15.25
FT043A 110510 1000 13.50
FT044A 110516 1000 18.50
FT045A 110520 1000 19.75
FT046A 110997 1000 21.25
FT101A 111022 1000 20.25
FT048A 110587 1000 20.50
FT049A 111033 1000 18.50
FT050A 110608 1000 19.25
FT051A 110614 1000 20.00
FT052A 110619 1000 22.50
FT053A 110625 1000 12.50
FT054A 110637 1000 15.50
FT055A 110645 1000 18.25
FT056A 110650 1000  9.50
FT057A 110660 1000 21.00
FT058A 110666 1000 17.00
FT059A 110671 1000 17.50
FT060A 111036 1000 18.50
FT061A 111042 1000 21.50
FT062A 110700 1000 18.50
FT063A 111044 1000 20.25
FT064A 110725 1000 17.75
FT065A 110731 1000 17.75
FT066A 110736 1000 22.50
FT094A 110751 1000  3.25
FT068A 110757 1000 18.25
FT069A 110762 1000 12.25
FT070A 110768 1000 16.75
FT071A 110773 1000 11.75
FT072A 110777 1000 17.00
FT073A 110781 1000 13.00
FT074A 110785 1000 11.50
FT075A 110793 1000 15.75
FT076A 110796 1000 18.50
FT077A 110800 1000 16.00
FT078A 111050 1000  8.50
FT079A 110823 1000 16.25
FT080A 110833 1000  9.75
FT081A 110841 1000 12.50
FT082A 110847 1000 17.00
FT083A 110854 1000 13.75
FT084A 110858 1000 17.00
FT085A 110865 1000  0.00
FT086A 110872 1000 12.25
FT087A 110878 1000 22.50
FT088A 111058 1000 20.50
FT089A 110891 1000 12.00
FT090A 110896 1000 14.00
FT091A 110902 1000 17.75
FT092A 110910 1000 24.25
FT047B 110578 1000 13.75
FT026A 110403 1000 13.75
FT093A 110905 1000 17.50
