#Run Subrun PIN RMS
#------------------
100786 0 690 179.67
100786 1 707 181.39
100786 2 696 180.68
100786 3 697 180.03
100786 4 699 181.19
100786 5 705 180.04
100786 6 703 180.73
100786 7 701 180.65
100786 8 698 180.19
100786 9 696 179.81
100786 10 695 178.97
100786 11 698 180.33
100786 12 698 180.90
100786 13 695 181.18
100786 14 697 179.20
100786 15 700 180.41
100786 16 705 179.82
100786 17 706 180.04
100786 18 702 181.07
100786 19 704 179.55
100801 0 1221 181.40
100801 1 1221 181.70
100801 2 1224 180.82
100801 3 1222 181.53
100801 4 1225 182.09
100801 5 1223 179.93
100801 6 1219 180.41
100801 7 1221 181.39
100801 8 1222 179.92
100801 9 1221 180.08
100801 10 1221 180.64
100801 11 1224 181.27
100801 12 1221 181.55
100801 13 1222 181.83
100801 14 1225 182.34
100801 15 1221 180.48
100801 16 1223 182.43
100801 17 1224 181.04
100801 18 1222 181.57
100801 19 1221 181.10
100808 0 1323 181.02
100808 1 1324 181.17
100808 2 1330 180.64
100808 3 1327 181.83
100808 4 1322 180.81
100808 5 1330 182.87
100808 6 1328 181.34
100808 7 1328 181.69
100808 8 1327 181.21
100808 9 1330 181.00
100808 10 1326 180.81
100808 11 1325 180.54
100808 12 1331 181.09
100808 13 1332 181.29
100808 14 1324 180.97
100808 15 1326 180.88
100808 16 1324 181.12
100808 17 1328 180.97
100808 18 1323 180.19
100808 19 1324 181.76
100813 0 1561 182.37
100813 1 1562 181.71
100813 2 1560 182.14
100813 3 1558 181.55
100813 4 1557 182.40
100813 5 1560 182.23
100813 6 1562 183.21
100813 7 1560 181.74
100813 8 1557 182.51
100813 9 1559 183.44
100813 10 1555 181.73
100813 11 1556 181.47
100813 12 1560 182.16
100813 13 1560 181.63
100813 14 1559 181.95
100813 15 1555 181.16
100813 16 1560 182.11
100813 17 1558 182.53
100813 18 1556 183.47
100813 19 1560 180.91
100798 0 1083 179.18
100798 1 1086 180.27
100798 2 1084 181.35
100798 3 1086 181.51
100798 4 1082 181.02
100798 5 1085 178.64
100798 6 1082 179.37
100798 7 1087 180.61
100798 8 1081 181.48
100798 9 1083 178.77
100798 10 1086 178.48
100798 11 1083 179.61
100798 12 1083 181.18
100798 13 1083 181.68
100798 14 1086 179.60
100798 15 1080 180.28
100798 16 1080 181.40
100798 17 1079 178.93
100798 18 1083 179.38
100798 19 1082 180.53
100816 0 826 179.44
100816 1 828 180.08
100816 2 827 179.67
100816 3 829 179.64
100816 4 828 179.62
100816 5 828 180.40
100816 6 830 179.42
100816 7 830 178.82
100816 8 827 180.42
100816 9 827 179.07
100816 10 826 178.13
100816 11 828 178.56
100816 12 828 178.72
100816 13 827 180.04
100816 14 829 179.76
100816 15 826 179.57
100816 16 825 179.55
100816 17 829 180.18
100816 18 825 180.34
100816 19 826 180.32
101951 0 1327 182.84
101951 1 1331 182.23
101951 2 1324 181.33
101951 3 1326 179.84
101951 4 1329 180.48
101951 5 1326 180.95
101951 6 1324 180.45
101951 7 1327 181.94
101951 8 1327 181.30
101951 9 1327 180.44
101951 10 1329 180.61
101951 11 1326 180.74
101951 12 1330 180.55
101951 13 1327 181.63
101951 14 1326 181.05
101951 15 1333 181.39
101951 16 1330 179.74
101951 17 1325 180.86
101951 18 1326 182.24
101951 19 1328 180.92
100821 0 1213 180.61
100821 1 1212 178.02
100821 2 1210 180.43
100821 3 1213 180.34
100821 4 1211 181.13
100821 5 1213 179.29
100821 6 1215 180.41
100821 7 1211 180.03
100821 8 1209 180.61
100821 9 1215 180.48
100821 10 1211 179.14
100821 11 1209 180.45
100821 12 1211 179.99
100821 13 1210 179.67
100821 14 1212 181.49
100821 15 1213 180.73
100821 16 1212 180.94
100821 17 1210 182.72
100821 18 1207 180.64
100821 19 1217 179.76
100824 0 1340 181.86
100824 1 1338 180.51
100824 2 1338 180.78
100824 3 1337 179.78
100824 4 1339 181.87
100824 5 1340 180.86
100824 6 1339 181.08
100824 7 1342 181.30
100824 8 1340 181.29
100824 9 1346 181.94
100824 10 1339 180.99
100824 11 1338 181.27
100824 12 1341 180.88
100824 13 1342 182.52
100824 14 1339 180.58
100824 15 1338 181.00
100824 16 1342 180.94
100824 17 1341 181.37
100824 18 1341 181.20
100824 19 1339 181.08
100827 0 1064 179.72
100827 1 1064 179.32
100827 2 1062 179.09
100827 3 1065 178.56
100827 4 1064 179.67
100827 5 1065 179.69
100827 6 1067 178.69
100827 7 1063 178.75
100827 8 1065 179.18
100827 9 1064 179.95
100827 10 1067 179.83
100827 11 1063 179.59
100827 12 1065 180.82
100827 13 1064 178.80
100827 14 1063 179.46
100827 15 1060 179.25
100827 16 1065 180.00
100827 17 1065 179.10
100827 18 1062 179.52
100827 19 1065 178.50
100834 0 1911 181.43
100834 1 1909 181.55
100834 2 1912 181.37
100834 3 1909 180.60
100834 4 1908 179.91
100834 5 1911 179.85
100834 6 1911 180.62
100834 7 1911 180.81
100834 8 1907 180.32
100834 9 1911 181.26
100834 10 1912 180.69
100834 11 1910 181.66
100834 12 1910 179.97
100834 13 1915 180.11
100834 14 1916 179.49
100834 15 1914 180.78
100834 16 1907 180.26
100834 17 1903 180.95
100834 18 1912 180.06
100834 19 1912 179.66
100838 0 2278 181.27
100838 1 2295 181.46
100838 2 2286 180.69
100838 3 2279 181.51
100838 4 2270 180.71
100838 5 2249 180.03
100838 6 2245 181.20
100838 7 2246 179.56
100838 8 2263 180.06
100838 9 2283 182.20
100838 10 2274 181.78
100838 11 2257 181.94
100838 12 2257 181.77
100838 13 2273 181.03
100838 14 2241 180.96
100838 15 2264 181.07
100838 16 2253 180.78
100838 17 2290 180.18
100838 18 2288 182.08
100838 19 2288 180.71
100841 0 985 179.64
100841 1 980 178.04
100841 2 984 179.93
100841 3 983 179.70
100841 4 987 179.82
100841 5 983 179.43
100841 6 984 180.23
100841 7 985 178.28
100841 8 980 179.23
100841 9 985 179.40
100841 10 982 178.92
100841 11 984 179.75
100841 12 985 178.87
100841 13 980 179.76
100841 14 987 179.83
100841 15 987 179.09
100841 16 983 179.90
100841 17 984 179.91
100841 18 982 179.82
100841 19 984 179.04
100851 0 1542 180.38
100851 1 1535 181.43
100851 2 1542 180.90
100851 3 1545 181.04
100851 4 1546 182.42
100851 5 1544 182.65
100851 6 1543 180.41
100851 7 1547 182.11
100851 8 1548 181.57
100851 9 1540 181.01
100851 10 1544 181.14
100851 11 1542 181.44
100851 12 1544 181.46
100851 13 1542 180.46
100851 14 1541 182.60
100851 15 1543 180.15
100851 16 1540 181.19
100851 17 1543 180.99
100851 18 1541 180.28
100851 19 1543 181.04
100855 0 1194 181.85
100855 1 1194 180.79
100855 2 1191 180.67
100855 3 1193 181.03
100855 4 1190 180.40
100855 5 1192 180.95
100855 6 1195 180.78
100855 7 1193 180.99
100855 8 1197 180.38
100855 9 1192 180.16
100855 10 1195 180.20
100855 11 1193 181.04
100855 12 1195 181.36
100855 13 1192 182.31
100855 14 1193 181.07
100855 15 1187 180.73
100855 16 1196 180.87
100855 17 1190 180.06
100855 18 1193 181.51
100855 19 1194 181.52
100859 0 1228 180.15
100859 1 1228 182.13
100859 2 1226 182.45
100859 3 1225 180.48
100859 4 1229 181.08
100859 5 1223 179.06
100859 6 1230 181.78
100859 7 1229 179.75
100859 8 1229 180.92
100859 9 1226 181.55
100859 10 1230 180.27
100859 11 1229 180.30
100859 12 1230 180.90
100859 13 1225 181.13
100859 14 1227 180.27
100859 15 1228 179.89
100859 16 1233 179.77
100859 17 1228 180.52
100859 18 1239 179.67
