#Run Subrun PIN RMS
#------------------
109763   0  1196 179.36
109763   1  1191 179.68
109763   2  1196 179.73
109763   3  1201 180.47
109763   4  1199 179.41
109763   5  1197 178.36
109763   6  1199 180.96
109763   7  1198 181.66
109763   8  1195 180.70
109763   9  1200 180.09
109763  10  1201 180.28
109763  11  1193 179.91
109763  12  1199 180.78
109763  13  1199 180.66
109763  14  1201 181.55
109763  15  1199 179.40
109763  16  1194 180.71
109763  17  1191 179.66
109763  18  1195 180.69
109763  19  1194 180.85
109763  20  1196 180.49
109763  21  1198 180.35
109763  22  1197 180.15
109763  23  1198 179.72
109763  24  1193 179.65
109763  25  1200 181.18
109763  26  1195 180.10
109763  27  1199 180.54
109763  28  1197 179.20
109763  29  1197 180.00
109763  30  1196 180.56
109763  31  1201 179.76
109763  32  1197 180.29
109763  33  1193 179.78
109763  34  1198 179.76
109763  35  1197 179.80
109763  36  1195 178.83
109763  37  1197 179.55
109763  38  1196 179.86
109763  39  1195 182.39
109763  40  1197 179.51
109763  41  1202 179.46
109763  42  1197 180.47
109763  43  1203 178.87
109763  44  1194 180.06
109763  45  1201 180.45
109763  46  1196 179.94
109763  47  1198 180.81
109763  48  1194 178.10
109763  49  1195 180.14
109763  50  1199 179.35
109763  51  1198 180.35
109763  52  1205 179.92
109763  53  1200 180.58
109763  54  1201 179.73
109763  55  1200 179.90
109763  56  1201 180.00
109763  57  1201 181.40
109763  58  1196 179.60
109763  59  1196 180.54
109763  60  1195 180.84
109763  61  1203 180.84
109763  62  1199 180.11
109763  63  1202 179.02
109763  64  1201 179.67
109763  65  1200 181.47
109763  66  1199 179.40
109763  67  1195 179.93
109763  68  1201 179.90
109763  69  1198 179.68
109763  70  1196 178.76
109763  71  1200 180.39
109763  72  1195 181.90
109763  73  1199 180.84
109763  74  1201 180.85
109763  75  1194 178.36
109763  76  1203 180.72
109763  77  1198 180.71
109763  78  1198 180.28
109763  79  1204 180.87
109763  80  1199 180.66
109763  81  1201 181.00
109763  82  1202 179.64
109763  83  1202 179.13
109763  84  1197 179.99
109763  85  1201 180.40
109763  86  1201 179.34
109763  87  1203 180.70
109763  88  1205 180.70
109763  89  1199 179.64
109763  90  1201 181.25
109763  91  1199 179.84
109763  92  1203 180.65
109763  93  1207 179.87
109763  94  1206 179.96
109763  95  1201 179.27
109763  96  1199 180.69
109763  97  1199 179.33
109763  98  1198 179.84
109763  99  1204 179.50
109763 100  1200 179.85
109763 101  1198 180.40
109763 102  1201 180.44
109763 103  1199 179.16
109763 104  1201 179.83
109763 105  1202 181.43
109763 106  1198 179.04
109763 107  1200 180.30
109763 108  1202 179.86
109763 109  1204 179.67
109763 110  1203 180.84
109763 111  1200 179.99
109763 112  1202 179.89
109763 113  1199 180.28
109763 114  1201 178.95
109763 115  1202 180.36
109763 116  1199 180.16
109763 117  1202 180.54
109763 118  1207 180.85
109763 119  1205 178.72
109763 120  1206 180.23
109763 121  1201 179.74
109763 122  1203 179.49
109763 123  1201 179.93
109763 124  1204 178.98
109763 125  1205 179.69
109763 126  1202 180.43
109763 127  1204 180.18
109763 128  1201 181.21
109763 129  1201 179.09
109763 130  1207 179.30
109763 131  1204 178.93
109763 132  1196 180.24
109763 133  1200 180.26
109763 134  1199 180.47
109763 135  1199 180.21
109763 136  1199 180.47
109763 137  1201 179.48
109763 138  1204 180.51
109763 139  1201 179.89
109763 140  1203 180.52
109763 141  1199 180.52
109763 142  1200 179.75
109763 143  1198 178.87
109763 144  1201 179.74
109763 145  1207 179.76
109763 146  1201 180.18
109763 147  1199 179.75
109763 148  1199 179.74
109763 149  1199 179.94
109763 150  1201 179.53
109763 151  1203 179.79
109763 152  1202 179.74
109763 153  1203 181.44
109763 154  1200 179.44
109763 155  1206 179.14
109763 156  1201 180.22
109763 157  1201 179.67
109763 158  1199 179.38
109763 159  1200 180.59
109763 160  1200 179.83
109763 161  1199 178.14
109763 162  1203 180.23
109763 163  1198 180.39
109763 164  1204 181.45
109763 165  1202 181.02
109763 166  1205 178.57
109763 167  1199 180.56
109763 168  1200 180.65
109763 169  1198 180.37
109763 170  1201 180.17
109763 171  1203 180.90
109763 172  1205 180.22
109763 173  1197 181.21
109763 174  1201 181.38
109763 175  1204 179.64
109763 176  1199 178.94
109763 177  1205 178.53
109763 178  1199 179.68
109763 179  1200 181.61
109763 180  1203 180.88
109763 181  1200 181.18
109763 182  1201 178.93
109763 183  1204 180.62
109763 184  1199 180.75
109763 185  1204 180.08
109763 186  1200 180.30
109763 187  1201 179.67
109763 188  1201 179.18
109763 189  1200 180.84
109763 190  1201 181.33
109763 191  1197 180.64
109763 192  1202 180.70
109763 193  1207 180.66
109763 194  1204 179.98
109763 195  1202 179.37
109763 196  1206 179.48
109763 197  1202 180.27
109763 198  1202 179.06
109763 199  1202 179.48
109764   0  1001 179.16
109764   1  1002 178.93
109764   2  1003 178.98
109764   3  1001 179.11
109764   4   999 180.29
109764   5   999 179.09
109764   6  1004 180.02
109764   7  1004 180.34
109764   8  1002 180.62
109764   9  1004 180.93
109764  10  1001 178.56
109764  11  1001 179.32
109764  12  1009 179.52
109764  13  1007 178.22
