#Run Subrun PIN RMS
#------------------
109734   0  1191 179.31
109734   1  1190 179.28
109734   2  1194 179.92
109734   3  1193 181.33
109734   4  1195 179.86
109734   5  1190 180.74
109734   6  1193 179.33
109734   7  1193 179.41
109734   8  1195 181.29
109734   9  1197 179.99
109734  10  1197 180.97
109734  11  1190 180.82
109734  12  1193 180.44
109734  13  1194 180.27
109734  14  1192 179.81
109734  15  1193 179.91
109734  16  1192 179.46
109734  17  1192 180.00
109734  18  1192 180.11
109734  19  1196 179.53
109734  20  1191 179.95
109734  21  1194 178.72
109734  22  1191 180.26
109734  23  1191 181.47
109734  24  1190 180.07
109734  25  1192 179.90
109734  26  1191 180.34
109734  27  1193 180.82
109734  28  1194 179.12
109734  29  1194 179.91
109734  30  1194 180.19
109734  31  1191 179.63
109734  32  1189 180.21
109734  33  1187 181.21
109734  34  1191 179.85
109734  35  1190 179.49
109734  36  1191 180.43
109734  37  1189 180.86
109734  38  1191 179.95
109734  39  1187 179.93
109734  40  1191 180.17
109734  41  1190 180.08
109734  42  1189 179.95
109734  43  1188 180.18
109734  44  1191 180.49
109734  45  1191 181.54
109734  46  1193 179.75
109734  47  1190 179.27
109734  48  1187 179.69
109734  49  1189 179.61
109734  50  1194 181.01
109734  51  1195 178.63
109734  52  1192 180.50
109734  53  1193 181.27
109734  54  1191 178.87
109734  55  1195 178.75
109734  56  1191 180.14
109734  57  1192 179.55
109734  58  1190 179.11
109734  59  1191 180.44
109734  60  1190 180.42
109734  61  1191 181.07
109734  62  1193 180.95
109734  63  1192 180.61
109734  64  1191 180.30
109734  65  1193 179.82
109734  66  1193 180.32
109734  67  1190 180.30
109734  68  1192 180.21
109734  69  1192 178.08
109734  70  1191 179.63
109734  71  1192 180.56
109734  72  1192 181.48
109734  73  1193 180.76
109734  74  1188 179.23
109734  75  1197 178.88
109734  76  1197 179.03
109734  77  1191 180.01
109734  78  1194 179.20
109734  79  1194 180.02
109734  80  1194 180.30
109734  81  1197 180.68
109734  82  1197 179.08
109734  83  1194 180.36
109734  84  1195 178.88
109734  85  1194 180.83
109734  86  1197 179.98
109734  87  1195 181.03
109734  88  1199 179.02
109734  89  1198 180.98
109734  90  1194 180.76
109734  91  1195 180.56
109734  92  1192 178.20
109734  93  1195 180.57
109734  94  1190 181.45
109734  95  1197 181.66
109734  96  1190 180.96
109734  97  1192 180.43
109734  98  1192 179.65
109734  99  1191 181.08
109734 100  1196 178.20
109734 101  1189 179.76
109734 102  1190 180.55
109734 103  1194 180.77
109734 104  1195 179.73
109734 105  1194 179.31
109734 106  1194 180.55
109734 107  1187 178.95
109734 108  1187 179.85
109734 109  1194 181.12
109734 110  1191 181.22
109734 111  1192 180.71
109734 112  1198 180.53
109734 113  1188 179.91
109734 114  1194 181.14
109734 115  1191 180.40
109734 116  1194 180.52
109734 117  1194 179.44
109734 118  1197 181.40
109734 119  1193 179.19
109734 120  1195 180.06
109734 121  1193 179.73
109734 122  1195 181.21
109734 123  1194 180.12
109734 124  1198 180.41
109734 125  1202 180.33
109734 126  1201 179.87
109734 127  1194 178.49
109734 128  1196 179.82
109734 129  1201 179.08
109734 130  1198 180.02
109734 131  1198 181.41
109734 132  1189 180.30
109734 133  1190 180.16
109734 134  1196 180.98
109734 135  1196 180.68
109734 136  1195 179.97
109734 137  1196 180.49
109734 138  1196 180.74
109734 139  1194 179.68
109734 140  1196 178.87
109734 141  1192 179.85
109734 142  1192 181.05
109734 143  1196 180.16
109734 144  1195 180.25
109734 145  1192 180.99
109734 146  1198 178.43
109734 147  1196 180.76
109734 148  1197 180.69
109734 149  1199 178.83
109734 150  1197 179.92
109734 151  1199 179.64
109734 152  1193 179.24
109734 153  1195 179.05
109734 154  1195 181.25
109734 155  1200 179.11
109734 156  1195 179.83
109734 157  1194 180.97
109734 158  1192 179.40
109734 159  1194 179.51
109734 160  1195 181.72
109734 161  1199 180.00
109734 162  1193 180.78
109734 163  1196 181.05
109734 164  1195 179.81
109734 165  1197 181.23
109734 166  1195 180.97
109734 167  1193 179.13
109734 168  1197 179.90
109734 169  1194 179.60
109734 170  1195 180.87
109734 171  1193 180.67
109734 172  1195 180.94
109734 173  1196 179.04
109734 174  1191 180.21
109734 175  1199 180.60
109734 176  1193 178.52
109734 177  1197 181.36
109734 178  1199 179.21
109734 179  1196 179.17
109734 180  1196 180.99
109734 181  1197 180.53
109734 182  1200 180.83
109734 183  1201 180.29
109734 184  1195 178.96
109734 185  1197 179.71
109734 186  1199 179.13
109734 187  1194 181.95
109734 188  1196 180.82
109734 189  1196 177.52
109734 190  1198 180.09
109734 191  1199 181.09
109734 192  1198 179.71
109734 193  1194 179.57
109734 194  1196 179.48
109734 195  1192 179.92
109734 196  1197 179.17
109734 197  1195 180.28
109734 198  1197 182.06
109734 199  1195 180.30
109737   0   991 179.10
109737   1   994 179.65
109737   2   991 179.58
109737   3   992 179.47
109737   4   993 179.03
109737   5   992 179.57
109737   6   987 179.29
109737   7   989 179.21
109737   8   989 178.89
109737   9   992 178.00
109737  10   992 179.60
109737  11   991 179.16
109737  12   991 178.36
109737  13   988 180.34
109737  14   985 179.49
109737  15   988 178.70
109737  16   993 179.35
109737  17   992 179.90
109737  18   993 178.97
109737  19   989 178.18
109737  20   993 179.12
109737  21   993 179.73
109737  22   995 180.31
109737  23   994 179.32
109737  24   992 179.93
109737  25   992 179.88
109737  26   995 180.74
109737  27   995 179.57
109737  28   995 179.69
109737  29   995 179.13
109737  30   992 177.41
109737  31   992 179.54
109737  32   991 178.82
109737  33   991 179.54
109737  34   990 177.95
109737  35   994 178.95
109737  36   995 179.67
109737  37   998 179.68
109737  38  1000 180.43
109737  39  1000 179.64
109737  40   998 179.67
109737  41   996 180.16
109737  42   992 179.74
109737  43   995 179.00
109737  44   998 179.84
109737  45   991 177.64
109737  46  1002 179.00
109737  47   999 179.09
109737  48   995 179.58
109737  49   995 179.00
109737  50   995 179.39
109737  51   997 178.52
109737  52   995 178.96
109737  53   996 178.88
109737  54   996 179.09
109737  55   993 180.30
109737  56   992 178.37
109737  57   991 179.40
109737  58   990 179.51
109737  59   987 179.00
109737  60   999 179.56
109737  61   994 179.53
109737  62   994 178.86
109737  63   997 180.50
109737  64   993 180.25
109737  65   996 179.47
109737  66   992 180.74
109737  67   993 178.78
109737  68   993 178.14
109737  69  1000 180.15
109737  70   990 179.67
109737  71   992 178.10
109737  72   989 178.78
109737  73   990 179.99
109737  74   992 180.23
109737  75   992 179.44
109737  76   995 180.60
109737  77   994 179.19
109737  78   988 177.92
109737  79   992 179.41
109737  80   990 179.22
109737  81   987 179.45
109737  82   986 179.55
109737  83   988 178.17
109737  84   990 179.44
109737  85   987 180.22
109737  86   996 178.61
109737  87   991 179.84
109737  88   998 179.25
109737  89   996 179.59
109737  90   995 180.30
109737  91   994 178.98
109737  92   994 178.09
109737  93   994 179.28
109737  94   998 179.10
109737  95   996 177.79
109737  96   994 179.80
109737  97   995 178.03
109737  98   994 179.68
109737  99   992 178.97
109737 100   989 179.79
109737 101   993 180.37
109737 102   989 180.67
109737 103   993 178.08
109737 104   995 179.45
109737 105   995 180.11
109737 106   992 179.97
109737 107   992 180.25
109737 108   988 177.98
109737 109   993 180.28
109737 110   993 179.00
109737 111   995 178.29
109737 112   995 178.98
109737 113   992 178.01
109737 114   992 179.11
109737 115   991 180.55
109737 116   995 178.13
109737 117   992 179.60
109737 118   990 179.82
109737 119   996 179.15
109737 120   994 179.25
109737 121   994 179.04
109737 122   996 179.14
109737 123   993 179.79
109737 124   989 179.60
109737 125   995 178.85
109737 126   993 178.65
109737 127   986 179.55
109737 128   989 178.72
109737 129   993 179.86
109737 130   995 178.97
109737 131   992 178.76
109737 132   992 181.26
109737 133   993 178.73
109737 134   996 180.09
109737 135   993 178.55
109737 136   991 179.73
109737 137   993 180.20
109737 138   990 179.49
109737 139   992 180.00
109737 140   997 179.15
109737 141   996 178.90
109737 142   996 178.29
109737 143   992 178.26
109737 144   993 180.45
109737 145   992 179.36
109737 146   992 181.01
109737 147   997 178.80
109737 148   999 179.35
109737 149   993 179.80
109737 150   997 180.25
109737 151   992 179.62
109737 152   994 179.06
109737 153   999 178.94
109737 154   995 179.07
109737 155   996 178.07
109737 156   996 179.24
109737 157   997 178.85
109737 158   992 178.35
109737 159   990 180.01
109737 160   992 178.63
109737 161   998 178.21
109737 162   993 178.90
109737 163   995 178.75
109737 164   990 178.94
109737 165   992 179.17
109737 166   992 178.59
109737 167   990 179.15
109737 168   993 178.38
109737 169  1000 180.85
109737 170   990 179.17
109737 171   992 177.89
109737 172   990 178.18
109737 173   993 180.29
109737 174   996 179.04
109737 175   990 179.56
109737 176   997 179.51
109737 177   993 178.39
109737 178   993 179.58
109737 179   991 179.18
109737 180   989 179.25
109737 181   999 180.52
109737 182   996 179.74
109737 183   992 180.84
109737 184   992 178.48
109737 185   988 178.28
109737 186   993 178.72
109737 187   988 179.73
109737 188   994 180.76
109737 189   991 179.27
109737 190   992 179.13
109737 191   990 178.70
109737 192   995 178.79
109737 193   991 179.39
109737 194   993 178.60
109737 195   994 179.25
109737 196   996 179.43
109737 197   992 180.09
109737 198   994 178.03
109737 199   998 179.20
